"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-14-23 / 02:23 AM","Upper","338","Z","3","707.85"
"01-14-23 / 02:23 AM","Lower","140","H","4","783"
"01-13-23 / 09:33 PM","Field","K","3","5","2374.56"
"01-13-23 / 04:36 PM","Upper","315","HH","2","584.1"
"01-13-23 / 04:36 PM","Upper","315","C","2","670.5"
"01-13-23 / 04:36 PM","Upper","311","T","3","919.8"
"01-13-23 / 04:36 PM","Upper","317","EE","1","658.38"
"01-13-23 / 04:36 PM","Upper","340","JJ","2","499.55"
"01-13-23 / 04:36 PM","Field","N","12","4","1822.5"
"01-13-23 / 12:12 PM","Lower","132","D","4","1620"
"01-13-23 / 12:12 PM","Upper","317","JJ","2","693"
"01-13-23 / 12:12 PM","Upper","342","T","1","450"
"01-12-23 / 10:18 PM","Field","C","11","5","2250.89"
"01-12-23 / 05:51 PM","Lower","123","FF","2","1260"
"01-12-23 / 05:51 PM","Upper","327","CC","2","842.4"
"01-12-23 / 05:51 PM","Lower","124","LL","2","1080"
"01-12-23 / 01:33 PM","Field","D","D","3","2231.97"
"01-12-23 / 01:33 PM","Lower","137","H","3","1350"
"01-12-23 / 01:33 PM","Lower","136","GG","2","1401.4"
"01-12-23 / 04:27 AM","Upper","339","CC","2","450"
"01-12-23 / 04:27 AM","Middle","229","G","2","854.1"
"01-12-23 / 04:27 AM","Lower","128","LL","2","1107.4"
"01-11-23 / 07:02 PM","Upper","335","GG","2","852.02"
"01-11-23 / 07:02 PM","Field","K","14","2","1350"
"01-10-23 / 09:37 PM","Field","F","5","6","1568"
"01-10-23 / 05:31 PM","Upper","338","Y","3","629.53"
"01-10-23 / 02:11 PM","Upper","319","GG","2","540"
"01-10-23 / 03:43 AM","Lower","133","F","1","1300"
"01-10-23 / 03:43 AM","Lower","122","EE","2","1307.07"
"01-10-23 / 12:14 AM","Middle","229","D","3","990"
"01-09-23 / 04:56 PM","Field","A","15","2","2124.64"
"01-09-23 / 04:56 PM","Field","G","16","2","1569.6"
"01-09-23 / 04:56 PM","Field","B","15","2","1763.02"
"01-08-23 / 11:31 PM","Lower","120","Z","2","1080"
"01-08-23 / 11:31 PM","Upper","304","","2","625.5"
"01-08-23 / 04:00 PM","Lower","131","X","2","1350"
"01-08-23 / 12:13 AM","Upper","312","C","4","1134.3"
"01-08-23 / 12:13 AM","Lower","135","T","1","1073.8"
"01-07-23 / 08:39 PM","Lower","130","FF","2","1092"
"01-07-23 / 04:45 PM","Lower","138","T","2","908.1"
"01-07-23 / 04:45 PM","Lower","119","GG","2","1035"
"01-07-23 / 04:45 PM","Upper","315","Z","2","630"
"01-07-23 / 03:10 AM","Field","F","4","1","810"
"01-06-23 / 11:19 PM","Upper","311","N","2","751.5"
"01-06-23 / 07:22 PM","Upper","341","Q","3","1127"
"01-06-23 / 07:22 PM","Upper","317","D","1","581.03"
"01-06-23 / 07:22 PM","Upper","341","JJ","3","891.8"
"01-06-23 / 12:11 PM","Lower","131","X","2","1601.1"
"01-06-23 / 05:54 AM","Upper","340","K","2","759.69"
"01-05-23 / 05:53 PM","Upper","319","U","2","629.1"
"01-05-23 / 10:51 AM","Field","G","6","2","1350"
"01-05-23 / 02:01 AM","Lower","123","Q","2","1215"
"01-05-23 / 02:01 AM","Upper","338","E","2","504"
"01-04-23 / 10:10 PM","Middle","229","A","2","799.2"
"01-04-23 / 10:10 PM","Lower","126","GG","2","900"
"01-04-23 / 10:10 PM","Lower","120","Z","2","1512"
"01-04-23 / 04:47 AM","Upper","317","EE","1","657"
"01-04-23 / 12:54 AM","Field","B","312","3","2697.57"
"01-04-23 / 12:54 AM","Upper","306","C","2","540"
"01-03-23 / 04:53 PM","Lower","134","Q","4","1530"
"01-03-23 / 04:14 AM","Field","P","6","2","2813"
"01-02-23 / 01:56 PM","Upper","333","JJ","2","820.54"
