"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-14-23 / 06:49 AM","Upper","634","D","6","532"
"01-14-23 / 06:49 AM","Lower","106","Y","1","963"
"01-14-23 / 02:31 AM","Field","B","7","2","1298.5"
"01-13-23 / 04:48 PM","Lower","129","T","6","1080"
"01-13-23 / 04:48 PM","Upper","636","M","4","540"
"01-13-23 / 04:48 PM","Loge","531","J","2","450"
"01-13-23 / 03:37 AM","Field","N","8","2","1263.6"
"01-13-23 / 03:37 AM","Upper","611","A","6","685.02"
"01-13-23 / 03:37 AM","Upper","636","C","3","479.55"
"01-13-23 / 03:37 AM","Lower","136","E","2","1210.25"
"01-13-23 / 03:37 AM","Lower","136","FF","2","871.38"
"01-12-23 / 10:28 PM","Upper","634","R","1","315"
"01-12-23 / 10:28 PM","Lower","109","X","1","1226.42"
"01-12-23 / 10:28 PM","Upper","607","H","4","497.83"
"01-12-23 / 09:26 AM","Field","C","5","1","1211.11"
"01-11-23 / 07:12 PM","Club","311","S","2","949.62"
"01-11-23 / 07:12 PM","Club","304","P","2","540"
"01-11-23 / 07:12 PM","Lower","126","B","2","720"
"01-11-23 / 02:34 PM","Field","N","7","2","1400"
"01-11-23 / 02:34 PM","Club","315","K","1","495"
"01-11-23 / 06:13 AM","Upper","629","A","2","405"
"01-11-23 / 02:22 AM","Lower","112","FF","2","499.5"
"01-11-23 / 02:22 AM","Upper","646","N","2","463.5"
"01-11-23 / 02:22 AM","Lower","137","L","2","1079.1"
"01-11-23 / 02:22 AM","Upper","749","R","1","455.7"
"01-10-23 / 05:39 PM","Lower","130","JJ","2","919.08"
"01-10-23 / 05:39 PM","Lower","123","C","3","1065.02"
"01-10-23 / 03:51 AM","Upper","647","L","2","468.83"
"01-10-23 / 03:51 AM","Field","N","9","3","1332.78"
"01-10-23 / 12:21 AM","Lower","104","FF","2","989.1"
"01-10-23 / 12:21 AM","Lower","129","EE","2","1037.69"
"01-10-23 / 12:21 AM","Upper","610","Q","2","400.5"
"01-10-23 / 12:21 AM","Lower","136","N","2","900"
"01-10-23 / 12:21 AM","Field","N","15","4","1062.15"
"01-09-23 / 05:03 PM","Upper","650","J","4","360"
"01-09-23 / 05:03 PM","Field","G","15","1","810"
"01-09-23 / 05:03 PM","Upper","609","N","2","563.58"
"01-09-23 / 05:03 PM","Upper","615","P","2","404.1"
"01-09-23 / 07:00 AM","Field","E","17","2","967.26"
"01-08-23 / 07:41 PM","Loge","544","J","2","517.5"
"01-08-23 / 04:07 PM","Club","348","A","2","861.36"
"01-08-23 / 04:07 PM","Upper","644","A","4","630"
"01-08-23 / 12:20 AM","Lower","110","CC","1","405"
"01-08-23 / 12:20 AM","Upper","637","K","5","473.34"
"01-08-23 / 12:20 AM","Lower","136","FF","2","810"
"01-08-23 / 12:20 AM","Upper","634","B","2","563.5"
"01-07-23 / 08:50 PM","Lower","112","FF","2","499.5"
"01-07-23 / 04:57 PM","Upper","609","E","2","479.55"
"01-07-23 / 04:57 PM","Upper","610","K","2","360"
"01-07-23 / 04:57 PM","Lower","110","R","2","540"
"01-07-23 / 03:18 AM","Upper","635","A","6","725.63"
"01-07-23 / 03:18 AM","Lower","133","N","2","847.67"
"01-06-23 / 11:26 PM","Upper","652","A","3","540"
"01-06-23 / 11:26 PM","Field","N","7","2","1650"
"01-06-23 / 11:26 PM","Field","D","15","2","1042.75"
"01-06-23 / 11:26 PM","Club","303","Q","2","781.31"
"01-06-23 / 11:26 PM","Field","B","7","4","1298.5"
"01-06-23 / 12:18 PM","Club","307","N","2","765"
"01-06-23 / 02:13 AM","Field","E","10","2","1170"
"01-06-23 / 02:13 AM","Club","305","Q","2","630"
"01-06-23 / 02:13 AM","Lower","123","GG","1","824.5"
"01-06-23 / 02:13 AM","Lower","124","BB","2","720"
"01-05-23 / 10:10 PM","Lower","106","JJ","4","1092"
"01-05-23 / 10:10 PM","Upper","647","M","2","458.95"
"01-05-23 / 06:00 PM","Lower","135","BB","2","1091.09"
"01-05-23 / 06:00 PM","Lower","133","EE","2","699.3"
"01-05-23 / 02:27 PM","Lower","130","JJ","4","874.8"
"01-05-23 / 02:27 PM","Lower","137","D","2","877.5"
"01-05-23 / 04:12 AM","Upper","635","T","4","375.5"
"01-05-23 / 12:42 AM","Lower","110","GG","4","750.24"
"01-04-23 / 09:05 PM","Lower","111","D","1","630"
"01-04-23 / 09:05 PM","Field","C","19","2","987"
"01-04-23 / 09:05 PM","Lower","138","U","1","720"
"01-04-23 / 05:21 PM","Lower","137","BB","2","1008"
"01-04-23 / 05:21 PM","Field","N","21","6","1065.02"
"01-04-23 / 01:26 PM","Club","308","M","2","450"
"01-04-23 / 03:25 AM","Field","A","5","2","1794.5"
"01-03-23 / 11:26 PM","Lower","124","B","1","1440"
"01-03-23 / 11:26 PM","Club","305","P","3","675"
"01-03-23 / 11:26 PM","Club","353","B","2","495"
"01-03-23 / 07:26 PM","Upper","631","N","3","454.5"
"01-03-23 / 03:32 PM","Club","303","P","2","1143.63"
"01-03-23 / 03:32 PM","Lower","110","W","2","1434.63"
"01-03-23 / 03:06 AM","Lower","130","W","3","900"
"01-03-23 / 03:06 AM","Lower","102","G","1","675"
"01-03-23 / 03:06 AM","Lower","131","CC","1","639"
"01-02-23 / 11:24 PM","Club","350","G","1","540"
"01-02-23 / 07:33 PM","Lower","130","B","2","900"
"01-02-23 / 07:33 PM","Lower","121","FF","2","540"
"01-02-23 / 07:33 PM","Club","348","A","2","855"
"01-02-23 / 07:33 PM","Upper","629","L","2","499.99"
"01-02-23 / 07:33 PM","Club","311","U","2","809.1"
"01-02-23 / 04:09 PM","Loge","546","D","2","607.5"
"01-02-23 / 04:09 PM","Loge","515","J","2","396"
"01-02-23 / 04:09 PM","Club","302","P","3","720"
"01-02-23 / 04:09 PM","Upper","607","G","2","360"
"01-01-23 / 09:34 PM","Field","C","6","3","1141.7"
"01-01-23 / 06:10 PM","Lower","109","GG","2","900"
"01-01-23 / 06:10 PM","Lower","104","BB","2","1003.95"
"01-01-23 / 12:30 PM","Field","B","15","4","1113.43"
"01-01-23 / 04:08 AM","Lower","110","U","3","921.5"
"01-01-23 / 01:04 AM","Loge","549","B","2","703.8"
"01-01-23 / 01:04 AM","Upper","638","R","4","550.96"
"12-31-22 / 08:25 AM","Loge","528","M","2","270"
"12-31-22 / 01:29 AM","Upper","605","S","1","450"
"12-31-22 / 01:29 AM","Upper","639","P","4","492.08"
"12-31-22 / 01:29 AM","Upper","609","A","3","691.96"
"12-31-22 / 01:29 AM","Loge","550","D","2","720"
"12-31-22 / 01:29 AM","Upper","636","E","4","685.8"
"12-30-22 / 06:03 PM","Club","345","R","1","630"
"12-30-22 / 03:03 AM","Field","D","7","2","1620"
"12-30-22 / 03:03 AM","Upper","632","M","4","450"
"12-30-22 / 03:03 AM","Lower","101","K","2","764.1"
"12-30-22 / 03:03 AM","Club","342","J","4","854.1"
"12-30-22 / 03:03 AM","Field","J","8","1","1260"
"12-29-22 / 11:19 PM","Upper","633","D","6","561.56"
"12-29-22 / 11:19 PM","Lower","136","Y","1","1016.61"
"12-29-22 / 11:19 PM","Upper","608","C","2","527.5"
"12-29-22 / 07:29 PM","Upper","615","N","2","495"
"12-29-22 / 07:29 PM","Club","331","S","2","768.32"
"12-29-22 / 07:29 PM","Upper","607","M","3","445.5"
"12-29-22 / 07:29 PM","Upper","646","N","2","508.25"
"12-29-22 / 03:12 PM","Upper","629","N","2","360"
"12-29-22 / 11:34 AM","Upper","647","F","2","945"
"12-29-22 / 11:34 AM","Lower","102","HH","2","1395"
"12-29-22 / 12:29 AM","Upper","636","C","2","512.05"
"12-29-22 / 12:29 AM","Upper","637","K","1","473.34"
"12-29-22 / 12:29 AM","Lower","111","D","1","540"
"12-29-22 / 12:29 AM","Lower","103","Y","2","945"
"12-29-22 / 12:29 AM","Upper","629","A","3","495"
"12-28-22 / 04:25 PM","Lower","131","J","3","720"
"12-28-22 / 04:25 PM","Lower","137","J","2","1169.1"
"12-28-22 / 04:25 PM","Lower","134","CC","3","845.37"
"12-28-22 / 09:07 AM","Field","F","10","2","900"
"12-27-22 / 10:30 PM","Upper","637","P","6","454.95"
"12-27-22 / 06:47 PM","Lower","125","Z","4","1350"
"12-27-22 / 12:36 AM","Field","E","2","6","1839.58"
"12-27-22 / 12:36 AM","Lower","132","AA","2","781.24"
"12-26-22 / 07:30 PM","Loge","537","","4","598.5"
"12-26-22 / 07:30 PM","Upper","639","A","1","493.49"
"12-26-22 / 02:42 PM","Upper","743","R","2","429.88"
"12-26-22 / 02:42 PM","Lower","140","EE","2","852.02"
"12-26-22 / 12:17 PM","Field","M","5","2","1979"
"12-26-22 / 04:38 AM","Field","J","24","1","945"
"12-25-22 / 09:49 PM","Upper","608","C","2","519.4"
"12-25-22 / 09:49 PM","Upper","748","R","2","405"
"12-25-22 / 09:49 PM","Field","N","16","2","990"
"12-25-22 / 09:49 PM","Upper","633","C","5","571.24"
"12-25-22 / 09:49 PM","Lower","140","T","2","871.38"
"12-25-22 / 09:49 PM","Field","N","9","3","1333.75"
"12-25-22 / 07:40 AM","Upper","632","M","2","450"
"12-25-22 / 07:40 AM","Upper","630","E","2","432"
"12-25-22 / 07:40 AM","Lower","123","A","2","1215"
"12-25-22 / 07:40 AM","Club","340","T","2","967.23"
"12-25-22 / 07:40 AM","Club","352","J","2","675"
"12-24-22 / 11:09 PM","Lower","138","CC","2","990"
"12-24-22 / 11:09 PM","Lower","140","JJ","2","715.5"
"12-24-22 / 11:09 PM","Lower","124","Q","2","850"
"12-24-22 / 11:09 PM","Lower","129","BB","2","1098"
"12-24-22 / 11:09 PM","Field","J","28","6","1080"
"12-24-22 / 07:44 PM","Field","B","18","4","1148.48"
"12-24-22 / 04:05 PM","Upper","647","D","2","559.36"
"12-24-22 / 01:00 PM","Upper","610","Q","3","450"
"12-24-22 / 05:42 AM","Lower","108","CC","2","1035"
"12-24-22 / 05:42 AM","Loge","548","L","2","594"
"12-24-22 / 02:03 AM","Lower","106","EE","2","1134.53"
"12-24-22 / 02:03 AM","Lower","137","J","2","1079.1"
"12-23-22 / 09:58 PM","Field","M","4","2","1451.33"
"12-23-22 / 09:58 PM","Upper","613","E","3","382.5"
"12-23-22 / 06:35 PM","Loge","552","A","2","704.85"
"12-23-22 / 06:35 PM","Lower","140","W","3","783"
"12-23-22 / 06:35 PM","Lower","111","A","6","882.85"
"12-23-22 / 06:35 PM","Lower","133","JJ","3","765"
"12-23-22 / 06:35 PM","Upper","606","G","2","360"
"12-23-22 / 06:35 PM","Lower","132","GG","6","909"
"12-23-22 / 04:11 AM","Loge","534","L","4","701.95"
"12-23-22 / 04:11 AM","Field","H","20","1","1119.9"
"12-23-22 / 04:11 AM","Field","G","5","2","1385.64"
"12-23-22 / 04:10 AM","Loge","535","L","2","629.33"
"12-23-22 / 04:10 AM","Field","H","15","4","1090.8"
"12-23-22 / 04:10 AM","Lower","106","CC","2","1181.98"
"12-23-22 / 04:10 AM","Upper","614","Q","2","405"
"12-23-22 / 04:10 AM","Lower","140","EE","2","793.92"
"12-23-22 / 04:10 AM","Club","309","N","2","1125"
"12-23-22 / 04:10 AM","Loge","511","G","2","450"
"12-23-22 / 04:10 AM","Field","F","15","2","1293.3"
"12-23-22 / 04:10 AM","Club","306","","3","849.6"
"12-23-22 / 04:10 AM","Club","311","V","2","742.5"
"12-23-22 / 04:10 AM","Lower","140","","2","630"
"12-23-22 / 04:10 AM","Field","N","1","1","1980"
"12-22-22 / 07:34 AM","Club","331","S","2","768.32"
"12-22-22 / 07:34 AM","Upper","749","R","1","509.6"
"12-22-22 / 07:34 AM","Upper","634","B","2","563.5"
"12-22-22 / 07:34 AM","Upper","650","K","3","685.99"
"12-22-22 / 07:34 AM","Upper","607","G","2","686"
"12-22-22 / 07:34 AM","Field","N","20","2","1381.41"
"12-22-22 / 07:34 AM","Upper","611","A","6","685.02"
"12-22-22 / 07:34 AM","Upper","608","C","2","539"
"12-22-22 / 07:34 AM","Loge","510","L","2","578.2"
"12-22-22 / 07:34 AM","Club","311","S","2","979.02"
"12-22-22 / 03:38 AM","Lower","103","BB","6","1065.02"
"12-21-22 / 11:48 PM","Upper","637","P","2","405"
"12-21-22 / 03:12 PM","Lower","112","M","1","360"
"12-21-22 / 03:12 PM","Club","331","M","4","598.5"
"12-21-22 / 11:28 AM","Lower","140","W","2","801"
"12-21-22 / 11:28 AM","Lower","139","FF","6","895.37"
"12-21-22 / 03:39 AM","Club","340","T","2","967.5"
"12-21-22 / 03:39 AM","Lower","107","B","2","1350"
"12-20-22 / 11:57 PM","Lower","106","CC","2","1181.98"
"12-20-22 / 11:57 PM","Lower","128","J","2","1035"
"12-20-22 / 11:57 PM","Lower","123","V","1","855"
"12-20-22 / 11:57 PM","Loge","538","M","3","633.06"
"12-20-22 / 11:57 PM","Field","P","8","2","1127"
"12-20-22 / 07:54 PM","Lower","123","T","2","720"
"12-20-22 / 07:54 PM","Lower","124","HH","2","1353.35"
"12-20-22 / 07:54 PM","Upper","647","H","2","508.51"
"12-20-22 / 07:54 PM","Upper","647","D","2","559.36"
"12-20-22 / 07:54 PM","Lower","121","AA","2","981.94"
"12-20-22 / 07:54 PM","Lower","135","BB","2","1328.63"
"12-20-22 / 07:54 PM","Lower","101","J","3","1136.59"
"12-20-22 / 07:54 PM","Club","338","M","2","808.2"
"12-20-22 / 02:51 PM","Field","C","13","4","1259.99"
"12-20-22 / 02:51 PM","Lower","132","CC","2","809.01"
"12-20-22 / 06:14 AM","Club","332","P","2","720"
"12-20-22 / 02:08 AM","Upper","749","R","3","509.6"
"12-20-22 / 02:08 AM","Lower","102","Q","2","742.5"
"12-19-22 / 09:39 PM","Loge","547","H","2","630"
"12-19-22 / 09:39 PM","Lower","126","B","2","967.5"
"12-19-22 / 09:39 PM","Field","N","7","2","845.1"
"12-19-22 / 09:39 PM","Upper","613","C","2","454.5"
"12-19-22 / 09:39 PM","Upper","629","S","2","387"
"12-19-22 / 04:46 PM","Upper","638","C","3","670.95"
"12-19-22 / 04:46 PM","Upper","650","E","4","540"
"12-19-22 / 04:46 PM","Upper","628","L","2","270"
"12-19-22 / 04:46 PM","Upper","606","A","6","743.4"
"12-19-22 / 11:57 AM","Lower","122","U","2","670.5"
"12-18-22 / 10:25 PM","Field","B","15","4","1053"
"12-18-22 / 05:50 PM","Upper","744","Q","2","450"
"12-18-22 / 05:50 PM","Club","331","S","6","631.12"
"12-18-22 / 01:22 PM","Lower","105","K","2","890.99"
"12-18-22 / 01:22 PM","Field","E","12","3","936.71"
"12-18-22 / 09:01 AM","Lower","101","JJ","2","871.38"
"12-18-22 / 09:01 AM","Field","B","10","2","1224.5"
"12-18-22 / 04:37 AM","Club","316","Q","3","314.99"
"12-18-22 / 04:37 AM","Field","N","8","2","1350"
"12-18-22 / 04:37 AM","Upper","630","Q","1","900"
"12-18-22 / 12:17 AM","Loge","551","G","1","405"
"12-18-22 / 12:17 AM","Field","B","6","2","1645.94"
"12-17-22 / 07:22 PM","Field","J","25","1","1080"
"12-17-22 / 02:40 PM","Lower","123","GG","2","630"
"12-17-22 / 02:40 PM","Upper","638","J","2","500.4"
"12-17-22 / 02:40 PM","Upper","651","","2","441"
"12-17-22 / 02:40 PM","Upper","646","N","4","517.75"
"12-17-22 / 05:24 AM","Field","P","5","4","1192.5"
"12-17-22 / 12:54 AM","Upper","631","L","3","372.4"
"12-17-22 / 12:54 AM","Field","C","7","2","1232.52"
"12-17-22 / 12:54 AM","Club","343","P","2","630"
"12-17-22 / 12:54 AM","Lower","132","T","1","495"
"12-17-22 / 12:54 AM","Lower","107","AA","2","1274"
"12-17-22 / 12:53 AM","Upper","647","E","2","964.08"
"12-17-22 / 12:53 AM","Upper","647","G","2","903.83"
"12-16-22 / 07:42 PM","Upper","635","A","2","540"
"12-16-22 / 07:42 PM","Field","Q","15","2","1452.3"
"12-16-22 / 07:42 PM","Field","B","14","3","1350.9"
"12-16-22 / 07:42 PM","Club","345","N","2","675"
"12-16-22 / 02:35 PM","Lower","130","P","2","988.99"
"12-16-22 / 02:35 PM","Upper","636","D","2","405"
"12-16-22 / 02:35 PM","Lower","130","Q","5","719.1"
"12-16-22 / 02:35 PM","Lower","126","EE","2","1080"
"12-16-22 / 02:35 PM","Field","B","18","3","980"
"12-16-22 / 02:35 PM","Field","H","15","6","1113.53"
"12-16-22 / 02:35 PM","Lower","124","J","2","1182.09"
"12-16-22 / 02:35 PM","Lower","122","EE","1","900"
"12-16-22 / 09:44 AM","Lower","109","EE","2","900.9"
"12-15-22 / 07:45 PM","Club","347","J","2","677.74"
"12-15-22 / 07:45 PM","Upper","627","N","2","484.03"
"12-15-22 / 07:45 PM","Upper","644","K","2","872.03"
"12-15-22 / 07:45 PM","Field","B","7","6","1421"
"12-15-22 / 07:45 PM","Field","C","6","6","1661.1"
"12-15-22 / 02:18 PM","Loge","535","L","4","629.33"
"12-15-22 / 02:18 PM","Lower","101","K","2","630"
"12-15-22 / 02:18 PM","Club","343","S","2","585"
"12-15-22 / 02:18 PM","Loge","504","M","1","270"
"12-15-22 / 12:42 AM","Field","B","15","6","1113.43"
"12-14-22 / 07:31 PM","Loge","510","J","2","606.37"
"12-14-22 / 07:31 PM","Loge","531","M","2","450"
"12-14-22 / 07:31 PM","Lower","127","HH","3","1080"
"12-14-22 / 07:31 PM","Field","C","16","2","1350"
"12-14-22 / 07:31 PM","Field","K","14","3","1065.02"
"12-14-22 / 07:31 PM","Lower","128","BB","2","1115.5"
"12-14-22 / 02:19 PM","Upper","607","A","2","522.5"
"12-14-22 / 02:19 PM","Upper","638","C","6","685.8"
"12-14-22 / 05:25 AM","Field","M","13","6","1181.64"
"12-14-22 / 05:25 AM","Lower","123","A","1","1260"
"12-14-22 / 01:10 AM","Upper","631","T","2","405"
"12-13-22 / 07:55 PM","Field","N","11","6","1171.1"
"12-12-22 / 11:18 PM","Lower","107","U","1","900"
"12-12-22 / 11:18 PM","Field","P","8","2","1300.3"
"12-12-22 / 11:18 PM","Upper","631","L","6","372.4"
"12-12-22 / 11:18 PM","Lower","140","T","2","871.38"
"12-12-22 / 04:04 PM","Club","345","J","4","760.5"
"12-12-22 / 04:04 PM","Lower","138","H","2","967.5"
"12-12-22 / 06:39 AM","Upper","613","M","2","360"
"12-12-22 / 01:48 AM","Lower","139","D","2","1065.02"
"12-11-22 / 07:58 PM","Upper","609","E","4","494.66"
"12-11-22 / 07:58 PM","Lower","112","Y","2","581.03"
"12-11-22 / 07:58 PM","Field","H","8","4","1291.95"
"12-11-22 / 03:09 PM","Lower","139","JJ","2","746.2"
"12-11-22 / 03:09 PM","Upper","636","B","2","484.5"
"12-11-22 / 03:09 PM","Upper","649","L","6","810"
"12-11-22 / 01:10 AM","Upper","612","R","2","328.5"
"12-11-22 / 01:10 AM","Field","Q","13","4","1511.69"
"12-11-22 / 01:10 AM","Field","P","5","2","1936.4"
"12-10-22 / 07:52 PM","Upper","641","B","2","450"
"12-10-22 / 07:52 PM","Upper","609","H","1","403.19"
"12-10-22 / 07:52 PM","Lower","102","EE","2","861.22"
"12-10-22 / 07:52 PM","Upper","652","L","2","609.56"
"12-10-22 / 02:38 PM","Loge","546","M","2","486"
"12-10-22 / 02:38 PM","Lower","102","T","2","1080"
"12-10-22 / 05:52 AM","Field","B","18","6","1225"
"12-10-22 / 01:22 AM","Upper","640","B","2","484.1"
"12-10-22 / 01:22 AM","Lower","124","AA","1","810"
