"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-13-23 / 09:33 PM","300-Level","306","8","2","810"
"01-13-23 / 04:36 PM","Field Level","FLR-J","26","1","1215"
"01-13-23 / 04:36 PM","300-Level","325","13","2","900"
"01-13-23 / 04:36 PM","200-Level Club","210C","2","4","1810.93"
"01-13-23 / 03:31 AM","200-Level","227","4","2","898.2"
"01-12-23 / 10:18 PM","100-Level Club","129C","34","3","3201"
"01-12-23 / 05:51 PM","300-Level","311","25","2","1109.16"
"01-12-23 / 05:51 PM","100-Level Club","129C","4","2","1734.74"
"01-11-23 / 11:40 PM","300-Level","313","19","2","1215"
"01-11-23 / 02:26 PM","300-Level","327","22","2","675"
"01-11-23 / 02:26 PM","200-Level Club","211C","3","2","1909.29"
"01-11-23 / 02:26 PM","100-Level Club","109C","2","2","2201.31"
"01-11-23 / 02:14 AM","300-Level","347","6","2","765"
"01-10-23 / 09:37 PM","300-Level","347","13","3","656.37"
"01-10-23 / 09:37 PM","300-Level","316","13","2","920.53"
"01-10-23 / 09:37 PM","100-Level","122","19","2","1620"
"01-10-23 / 09:37 PM","300-Level","332","21","3","787.5"
"01-10-23 / 09:37 PM","200-Level","204","6","1","472.5"
"01-10-23 / 05:31 PM","100-Level Club","110C","7","2","2880"
"01-10-23 / 02:11 PM","Field Level","FLR-H","","2","2239.99"
"01-10-23 / 02:11 PM","Field Level","FLR-J","28","4","1755"
"01-10-23 / 02:11 PM","Field Level","FLR-A","24","2","1689.36"
"01-10-23 / 10:16 AM","200-Level Club","237C","9","3","1215"
"01-10-23 / 12:14 AM","100-Level Club","110C","4","2","1800"
"01-10-23 / 12:14 AM","300-Level","335","2","2","832.5"
"01-09-23 / 09:49 AM","300-Level","307","21","2","450"
"01-09-23 / 03:23 AM","300-Level","321","26","3","675"
"01-08-23 / 11:31 PM","100-Level","121","35","2","1485"
"01-08-23 / 11:31 PM","200-Level","222","8","1","869.12"
"01-08-23 / 05:09 PM","200-Level","242","11","2","720"
"01-08-23 / 05:09 PM","200-Level","241","4","3","990"
"01-08-23 / 05:09 PM","100-Level","120","30","2","1350"
"01-08-23 / 01:51 PM","300-Level","340","23","2","585"
"01-08-23 / 01:26 AM","300-Level","328","3","4","976.93"
"01-07-23 / 10:01 PM","100-Level Club","130C","14","3","1530"
"01-07-23 / 04:45 PM","100-Level Club","112C","26","2","1395"
"01-07-23 / 01:05 PM","100-Level Club","129C","2","2","1979.1"
"01-06-23 / 02:04 AM","100-Level","121","32","2","1665"
"01-06-23 / 02:04 AM","100-Level","106","13","2","1260"
"01-05-23 / 05:53 PM","Field Level","FLR-B","24","1","1273.02"
"01-05-23 / 12:31 AM","100-Level Club","111C","1","2","3071.88"
"01-04-23 / 08:59 PM","300-Level","326","19","2","900"
"01-04-23 / 08:59 PM","100-Level Club","128C","30","4","1665"
"01-04-23 / 05:13 PM","100-Level Club","128C","29","1","1350"
"01-04-23 / 05:13 PM","100-Level","125","15","1","1125"
"01-04-23 / 01:20 PM","300-Level","317","10","2","720"
"01-04-23 / 06:39 AM","Field Level","FLR-G","27","2","1256.15"
"01-04-23 / 03:18 AM","300-Level","319","24","2","706.5"
"01-03-23 / 11:18 PM","300-Level","324","10","1","675"
"01-03-23 / 11:18 PM","300-Level","308","24","1","503.43"
"01-03-23 / 09:05 AM","100-Level","125","20","2","1170"
"01-03-23 / 09:05 AM","300-Level","312","20","2","1163.03"
"01-02-23 / 11:17 PM","300-Level","317","8","1","450"
"01-02-23 / 07:27 PM","200-Level","207","1","2","1125"
"01-02-23 / 04:05 PM","100-Level","123","23","2","1440"
"01-02-23 / 12:59 AM","100-Level","114","13","2","2204.99"
"01-01-23 / 06:05 PM","Field Level","FLR-E","16","2","1305.89"
