"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-14-23 / 02:34 AM","Upper Concourse","409","29","4","360"
"01-14-23 / 02:34 AM","Mezzanine","304","3","2","504"
"01-14-23 / 02:34 AM","Upper Concourse","410","18","3","440.99"
"01-14-23 / 02:34 AM","Upper Concourse","432","2","6","600.6"
"01-13-23 / 09:45 PM","Club Mezzanine","C334","8","2","765"
"01-13-23 / 04:50 PM","Mezzanine","327","11","2","540"
"01-13-23 / 04:50 PM","Club Mezzanine","C310","4","4","900"
"01-13-23 / 03:40 AM","Club Hall of Fame","C113","5","2","1256.15"
"01-13-23 / 03:40 AM","Field","N","7","2","1800"
"01-13-23 / 03:40 AM","Mezzanine","324","4","3","1008"
"01-13-23 / 03:40 AM","Club Mezzanine","C310","8","4","804.13"
"01-13-23 / 03:40 AM","Upper Concourse","417","17","3","509.6"
"01-12-23 / 10:30 PM","Upper Concourse","438","17","6","499.8"
"01-12-23 / 10:30 PM","Upper Concourse","436","4","2","538.02"
"01-12-23 / 06:02 PM","Mezzanine","317","8","1","675"
"01-12-23 / 06:02 PM","Upper Concourse","405","25","3","391.5"
"01-12-23 / 01:43 PM","Hall of Fame","125","14","2","900"
"01-12-23 / 01:43 PM","Upper Concourse","419","11","3","405"
"01-12-23 / 04:40 AM","Upper Concourse","448","14","1","319.5"
"01-12-23 / 04:40 AM","Upper Concourse","414","27","2","450"
"01-12-23 / 04:40 AM","Upper Concourse","441","29","4","468.93"
"01-11-23 / 11:55 PM","Club Hall of Fame","C110","4","2","2520"
"01-11-23 / 07:14 PM","Upper Concourse","416","26","2","390.6"
"01-11-23 / 07:14 PM","Club Hall of Fame","C114","14","2","989.1"
"01-11-23 / 07:14 PM","Club Mezzanine","C309","8","2","775.03"
"01-11-23 / 02:38 PM","Upper Concourse","411","21","2","360"
"01-11-23 / 02:25 AM","Upper Concourse","411","2","1","471.42"
"01-11-23 / 02:25 AM","Upper Concourse","436","4","4","538.02"
"01-11-23 / 02:25 AM","Upper Concourse","422","19","4","468.2"
"01-10-23 / 09:48 PM","Field","P","17","2","1530"
"01-10-23 / 09:48 PM","Mezzanine","342","12","2","585"
