"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-14-23 / 06:40 AM","200-Level","224","7","6","450"
"01-14-23 / 06:40 AM","400-Level","418","5","2","402.3"
"01-14-23 / 06:40 AM","Field","A8","20","2","1012.5"
"01-14-23 / 06:40 AM","400-Level","439","13","6","454.93"
"01-14-23 / 06:40 AM","Field","B2","9","1","787.5"
"01-14-23 / 06:40 AM","400-Level","409","10","6","561.47"
"01-14-23 / 06:40 AM","400-Level","438","5","5","783.28"
"01-14-23 / 02:23 AM","100-Level","143","15","1","540"
"01-14-23 / 02:23 AM","100-Level","C137","8","2","855"
"01-14-23 / 02:23 AM","West Loge","WL9","2","2","2002.5"
"01-14-23 / 02:23 AM","300-Level","316","12","2","336.6"
"01-14-23 / 02:23 AM","100-Level","143","27","2","630"
"01-13-23 / 09:32 PM","100-Level","C131","25","2","1170"
"01-13-23 / 09:32 PM","200-Level","248","10","2","561.83"
"01-13-23 / 09:32 PM","Field","A9","30","4","1137.47"
"01-13-23 / 09:32 PM","200-Level","242","13","4","540"
"01-13-23 / 09:32 PM","100-Level","140","31","2","810"
"01-13-23 / 09:32 PM","400-Level","443","7","4","900"
"01-13-23 / 09:32 PM","300-Level","303","12","2","409.5"
"01-13-23 / 04:36 PM","200-Level","204","13","2","550.8"
"01-13-23 / 04:36 PM","100-Level","139","35","4","765"
"01-13-23 / 04:36 PM","Field","B2","2","3","919.56"
"01-13-23 / 12:11 PM","400-Level","409","12","2","404.49"
"01-13-23 / 12:11 PM","400-Level","410","16","2","411.6"
"01-13-23 / 12:11 PM","400-Level","413","22","2","382.2"
"01-13-23 / 03:31 AM","200-Level","248","6","2","570.6"
"01-13-23 / 03:31 AM","100-Level","C111","27","2","983.29"
"01-13-23 / 03:31 AM","300-Level","340","10","3","627.46"
"01-13-23 / 03:31 AM","Field","B2","10","3","989.8"
"01-13-23 / 03:31 AM","Field","A7","32","2","1215"
"01-13-23 / 03:31 AM","East Loge","EL21","3","4","1349.27"
"01-13-23 / 03:31 AM","300-Level","315","5","3","585"
"01-13-23 / 03:31 AM","100-Level","102","27","3","764.4"
"01-13-23 / 03:31 AM","400-Level","413","14","2","395.1"
"01-12-23 / 10:18 PM","100-Level","129","9","1","756"
"01-12-23 / 05:50 PM","400-Level","437","4","2","607.5"
"01-12-23 / 05:50 PM","100-Level","140","13","2","1021.79"
"01-12-23 / 05:50 PM","Field","B1","9","2","863.3"
"01-12-23 / 01:33 PM","300-Level","343","10","3","446.4"
"01-12-23 / 01:33 PM","400-Level","442","4","1","551.93"
"01-12-23 / 01:33 PM","100-Level","143","31","2","720"
"01-12-23 / 09:18 AM","200-Level","246","9","2","585"
"01-12-23 / 04:27 AM","100-Level","C114","23","2","1057.5"
"01-12-23 / 04:27 AM","400-Level","439","6","2","441"
"01-12-23 / 04:27 AM","Field","A13","19","4","1260"
"01-11-23 / 11:40 PM","Field","A9","14","1","891"
"01-11-23 / 11:39 PM","400-Level","400-Level","","6","630"
"01-11-23 / 07:01 PM","400-Level","434","6","2","378"
"01-11-23 / 07:01 PM","Field","A4","15","3","1462.95"
"01-11-23 / 07:01 PM","100-Level","101","20","2","1048.45"
"01-11-23 / 07:01 PM","100-Level","138","6","2","1039.5"
"01-11-23 / 07:01 PM","200-Level","247","2","2","787.5"
"01-11-23 / 07:01 PM","100-Level","106","24","6","697.5"
"01-11-23 / 06:08 AM","300-Level","334","15","3","315"
