"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-14-23 / 06:40 AM","Field Level","FLR-C","5","3","1530"
"01-14-23 / 02:23 AM","Field Level","FLR-M","5","1","1349.1"
"01-14-23 / 02:23 AM","Field Level","FLR-G","8","1","1350"
"01-13-23 / 09:33 PM","200-Level","228","2","2","967.5"
"01-13-23 / 09:32 PM","100-Level Club","126C","15","2","1797.3"
"01-13-23 / 09:32 PM","100-Level Club","111C","7","2","1350"
"01-13-23 / 04:36 PM","100-Level Club","110C","4","2","2250"
"01-13-23 / 04:36 PM","300-Level","343","17","2","540"
"01-13-23 / 04:36 PM","300-Level","338","25","2","675"
"01-13-23 / 04:36 PM","200-Level Club","237C","2","2","1706.6"
"01-13-23 / 04:36 PM","200-Level Club","236C","2","5","2441.98"
"01-13-23 / 04:36 PM","100-Level Club","126C","4","2","1575"
"01-13-23 / 12:12 PM","100-Level Club","111C","35","2","990"
"01-12-23 / 10:18 PM","Field Level","FLR-P","28","3","1746"
"01-12-23 / 10:18 PM","300-Level","341","17","2","796.5"
"01-12-23 / 05:51 PM","200-Level","231","6","2","905.45"
"01-12-23 / 01:33 PM","100-Level","125","31","2","1008.9"
"01-12-23 / 01:33 PM","300-Level","329","19","2","669.6"
"01-12-23 / 09:18 AM","300-Level","341","11","2","697.5"
"01-12-23 / 09:18 AM","300-Level","309","12","2","593.51"
"01-12-23 / 04:27 AM","200-Level Club","236C","9","2","900"
"01-12-23 / 04:27 AM","300-Level","325","12","4","720"
"01-11-23 / 11:40 PM","Field Level","FLR-G","28","1","1231.91"
"01-11-23 / 07:02 PM","100-Level","117","26","3","1352.89"
"01-11-23 / 07:02 PM","300-Level","311","24","2","776"
"01-11-23 / 07:02 PM","100-Level","125","33","2","990"
"01-11-23 / 07:02 PM","100-Level Club","129C","10","2","1260.9"
"01-11-23 / 02:26 PM","100-Level Club","109C","2","2","2005.08"
"01-11-23 / 02:26 PM","100-Level Club","130C","31","2","900"
"01-11-23 / 02:26 PM","100-Level","133","16","2","630"
"01-11-23 / 02:26 PM","200-Level Club","211C","3","4","1813.5"
"01-11-23 / 02:26 PM","200-Level Club","237C","3","2","1717.71"
"01-11-23 / 02:14 AM","300-Level","344","16","2","450"
"01-10-23 / 09:37 PM","300-Level","344","10","2","678.89"
"01-10-23 / 09:37 PM","100-Level Club","112C","20","2","1215"
"01-10-23 / 05:31 PM","Field Level","FLR-C","22","4","1519.04"
"01-10-23 / 02:11 PM","200-Level","221","10","4","1518.73"
"01-10-23 / 12:14 AM","300-Level","344","11","2","522"
"01-10-23 / 12:14 AM","Field Level","FLR-N","20","4","1585.45"
"01-09-23 / 08:12 PM","100-Level","123","18","2","1328.21"
"01-09-23 / 08:12 PM","300-Level","315","17","2","712.05"
"01-09-23 / 04:56 PM","100-Level Club","109C","27","2","1613.98"
"01-09-23 / 01:22 PM","100-Level","122","25","2","1080"
"01-09-23 / 01:22 PM","100-Level Club","130C","14","3","1800"
"01-09-23 / 03:23 AM","100-Level Club","126C","9","2","1080"
"01-08-23 / 11:31 PM","200-Level Club","211C","4","2","1147.5"
