"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-14-23 / 06:44 AM","Middle","227","G","2","468"
"01-13-23 / 09:36 PM","Field","P","13","2","1210.56"
"01-13-23 / 09:36 PM","Field","H","13","1","1376.63"
"01-13-23 / 09:36 PM","Lower","134","WC","2","1044.34"
"01-13-23 / 04:40 PM","Field","B","5","2","1529.1"
"01-13-23 / 04:40 PM","Middle","243","T","2","720"
"01-13-23 / 04:40 PM","Lower","107","Y","4","1087.41"
"01-13-23 / 12:15 PM","Middle","206","M","2","719.1"
"01-12-23 / 10:21 PM","Lower","118","R","4","716.62"
"01-12-23 / 01:36 PM","Upper","315","D","5","540"
"01-12-23 / 01:36 PM","Middle","240","E","2","675"
"01-12-23 / 04:30 AM","Middle","240","P","2","540"
"01-11-23 / 07:06 PM","Lower","136","M","2","1384.2"
"01-11-23 / 07:06 PM","Field","H","15","3","1285.1"
"01-11-23 / 02:18 AM","Upper","344","V","3","500"
"01-11-23 / 02:18 AM","Middle","227","K","2","465.21"
"01-11-23 / 02:18 AM","Field","N","20","2","1080"
"01-11-23 / 02:18 AM","Upper","335","BB","2","450"
"01-10-23 / 09:40 PM","Lower","132","CC","2","990"
"01-10-23 / 05:34 PM","Upper","305","W","5","535.5"
"01-10-23 / 05:34 PM","Upper","342","J","3","495"
"01-10-23 / 05:34 PM","Upper","315","V","2","455.05"
"01-10-23 / 10:19 AM","Lower","146","BB","2","834.52"
"01-10-23 / 12:17 AM","Upper","327","T","3","405"
"01-10-23 / 12:17 AM","Field","J","2","6","1574.1"
"01-10-23 / 12:17 AM","Field","K","15","2","990"
"01-09-23 / 04:59 PM","Upper","342","Z","4","503.46"
"01-09-23 / 04:59 PM","Middle","239","R","4","1223.04"
"01-09-23 / 04:59 PM","Upper","307","F","2","540"
"01-09-23 / 04:59 PM","Lower","137","N","6","1276.69"
"01-09-23 / 04:59 PM","Middle","209","V","2","931.04"
"01-08-23 / 11:34 PM","Upper","341","","1","450"
"01-08-23 / 11:34 PM","Field","F","15","2","1129.78"
"01-08-23 / 07:37 PM","Middle","237","C","2","900"
"01-08-23 / 07:37 PM","Upper","337","S","2","585"
"01-08-23 / 07:37 PM","Upper","311","W","2","674.1"
"01-08-23 / 04:03 PM","Upper","339","X","6","600.28"
"01-08-23 / 04:03 PM","Upper","344","R","2","469.58"
"01-08-23 / 12:16 AM","Middle","213","Z","5","990"
"01-07-23 / 08:44 PM","Upper","330","C","3","396"
"01-07-23 / 08:44 PM","Lower","110","T","1","893.27"
"01-07-23 / 04:51 PM","Upper","338","P","2","540"
"01-07-23 / 04:51 PM","Lower","115","N","2","675"
"01-07-23 / 04:51 PM","Middle","240","B","2","901.93"
"01-07-23 / 04:51 PM","Upper","335","R","1","405"
"01-07-23 / 01:09 PM","Field","H","23","2","1067"
"01-07-23 / 01:09 PM","Upper","339","W","6","729.66"
"01-07-23 / 01:09 PM","Upper","308","L","2","499.55"
"01-07-23 / 01:09 PM","Lower","136","V","3","990"
"01-07-23 / 03:13 AM","Upper","317","D","6","506.34"
"01-07-23 / 03:13 AM","Lower","106","WC","2","720"
"01-06-23 / 11:22 PM","Lower","119","CC","1","765"
"01-06-23 / 11:22 PM","Field","B","1","3","2646"
"01-06-23 / 11:22 PM","Field","B","19","2","1350"
"01-06-23 / 11:22 PM","Field","D","6","3","1813"
"01-06-23 / 11:22 PM","Upper","331","F","2","427.5"
"01-06-23 / 11:22 PM","Lower Suites","LS108","","2","1350"
"01-06-23 / 09:09 AM","Upper","342","J","1","495"
"01-06-23 / 02:09 AM","Upper","318","Y","6","488.94"
"01-06-23 / 02:09 AM","Middle","228","A","2","720"
"01-06-23 / 02:09 AM","Middle","213","Y","3","990"
"01-05-23 / 05:56 PM","Lower","115","N","2","675"
"01-05-23 / 05:56 PM","Upper","342","Z","6","542.19"
"01-05-23 / 05:56 PM","Upper","344","V","2","507.34"
"01-05-23 / 05:56 PM","Middle","208","L","2","855"
"01-05-23 / 05:56 PM","Middle","229","","2","1186.75"
"01-05-23 / 02:23 PM","Middle","232","X","2","1080"
"01-05-23 / 12:35 AM","Middle","215","C","2","873.45"
"01-05-23 / 12:35 AM","Upper","312","R","2","674.24"
"01-04-23 / 09:01 PM","Upper","343","L","1","481.5"
"01-04-23 / 05:17 PM","Upper","343","F","2","911.22"
"01-04-23 / 01:22 PM","Upper","328","DD","2","469.58"
"01-04-23 / 01:22 PM","Upper","337","W","2","495"
"01-04-23 / 01:22 PM","Upper","335","P","2","585"
"01-04-23 / 06:42 AM","Upper","329","CC","2","450"
"01-04-23 / 06:42 AM","Upper","305","V","2","517.99"
"01-03-23 / 11:21 PM","Upper","316","W","3","423"
"01-03-23 / 07:23 PM","Middle","203","L","2","585"
"01-03-23 / 07:23 PM","Lower","132","AA","3","1080"
"01-03-23 / 03:29 PM","Upper","318","S","2","360"
"01-03-23 / 03:29 PM","Lower","140","T","4","1163.03"
"01-03-23 / 03:29 PM","Upper","330","C","3","855"
"01-03-23 / 12:16 PM","Upper","310","K","1","405"
"01-03-23 / 12:16 PM","Lower","108","W","3","1508.35"
"01-03-23 / 03:03 AM","Upper","332","M","4","450"
"01-03-23 / 03:03 AM","Lower","147","CC","2","900"
"01-03-23 / 03:03 AM","Hall of Fame Suites","HOFN1","1","4","2250"
"01-03-23 / 03:03 AM","Lower","135","R","1","1179.72"
"01-02-23 / 11:20 PM","Middle","238","M","3","810"
"01-02-23 / 11:20 PM","Upper","309","CC","2","445.5"
"01-02-23 / 11:20 PM","Lower","138","J","2","1305"
"01-02-23 / 11:20 PM","Middle","244","R","2","738"
"01-02-23 / 11:20 PM","Lower","110","X","2","1800"
"01-02-23 / 11:20 PM","Upper","330","L","1","342"
"01-02-23 / 11:20 PM","Middle","215","C","6","873.45"
"01-02-23 / 07:29 PM","Upper","327","Y","2","810"
"01-02-23 / 04:07 PM","Middle","239","A","2","1125"
"01-02-23 / 12:44 PM","Middle","208","AA","4","990"
"01-02-23 / 12:44 PM","Upper","328","Y","1","607.5"
"01-02-23 / 01:02 AM","Lower","113","AA","2","1439.04"
"01-01-23 / 09:32 PM","Field","H","10","2","900"
"01-01-23 / 06:07 PM","Lower","118","CC","2","630"
"01-01-23 / 03:19 PM","Upper","305","J","4","677.06"
"01-01-23 / 03:19 PM","Lower","148","V","2","1200.5"
"01-01-23 / 04:05 AM","Field","P","15","3","1447.46"
"01-01-23 / 01:01 AM","Upper","317","BB","2","469.58"
"01-01-23 / 01:01 AM","Lower","132","H","1","1350"
"12-31-22 / 09:35 PM","Middle","206","S","2","779.83"
"12-31-22 / 09:35 PM","Upper","317","S","2","445.37"
"12-31-22 / 06:03 PM","Lower","114","WC","1","720"
"12-31-22 / 06:03 PM","Lower","132","BB","2","1620"
"12-31-22 / 06:03 PM","Lower","107","R","2","1350"
"12-31-22 / 06:03 PM","Field","B","20","3","1409.94"
"12-31-22 / 06:03 PM","Field","E","10","2","1169.1"
"12-31-22 / 06:03 PM","Upper","316","M","2","468.61"
"12-31-22 / 11:34 AM","Upper","337","S","2","517.5"
"12-31-22 / 01:26 AM","Field","N","4","1","1395"
"12-31-22 / 01:26 AM","Middle","206","G","2","720"
"12-30-22 / 09:42 PM","Upper","305","Z","2","506.87"
"12-30-22 / 09:42 PM","Lower","144","X","2","878.98"
"12-30-22 / 05:58 PM","Upper","340","X","2","472.5"
"12-30-22 / 05:58 PM","Upper","308","X","6","427.5"
"12-30-22 / 05:58 PM","Upper","335","G","1","360"
"12-30-22 / 01:55 PM","Upper","311","G","2","585"
"12-30-22 / 01:55 PM","Lower","119","R","2","540"
"12-30-22 / 02:59 AM","Field","N","6","3","2700"
"12-29-22 / 11:14 PM","Field","D","6","6","1813"
"12-29-22 / 03:07 PM","Middle","203","P","2","810"
"12-29-22 / 11:30 AM","Field","G","7","2","1080"
"12-29-22 / 11:30 AM","Upper","318","AA","2","495"
"12-29-22 / 12:24 AM","Upper","314","G","3","640.64"
"12-29-22 / 12:24 AM","Field","B","19","2","1350"
"12-29-22 / 12:24 AM","Upper","328","DD","4","469.58"
"12-28-22 / 08:17 PM","Upper","315","P","2","441"
"12-28-22 / 08:17 PM","Field","F","20","2","1091.81"
"12-28-22 / 04:20 PM","Field","G","5","2","1445.3"
"12-28-22 / 04:20 PM","Middle","232","B","2","850.5"
"12-28-22 / 04:20 PM","Lower","133","U","2","1358"
"12-28-22 / 02:16 AM","Upper","329","P","2","477"
"12-28-22 / 02:16 AM","Field","K","15","2","855"
"12-27-22 / 10:25 PM","Upper","339","DD","2","598.78"
"12-27-22 / 10:25 PM","Upper","315","H","2","468"
"12-27-22 / 10:25 PM","Middle","244","R","2","678.27"
"12-27-22 / 06:40 PM","Upper","307","AA","2","585.76"
"12-27-22 / 06:40 PM","Upper","302","R","2","637"
"12-27-22 / 06:40 PM","Upper","313","DD","2","540"
"12-27-22 / 02:57 PM","Middle","239","U","2","675"
"12-27-22 / 06:42 AM","Middle","203","F","3","1080"
"12-27-22 / 06:42 AM","Middle","233","R","2","990"
"12-26-22 / 04:56 PM","Upper","341","Y","2","494.1"
"12-26-22 / 04:56 PM","Upper","339","DD","2","598.78"
"12-26-22 / 04:56 PM","Lower","106","S","3","979.99"
"12-26-22 / 04:33 AM","Lower","111","AA","2","1217.75"
"12-26-22 / 04:33 AM","Upper","341","","2","496.13"
"12-25-22 / 09:45 PM","Field","Q","11","2","2201.9"
"12-25-22 / 09:44 PM","Field","N","12","3","1519.04"
"12-25-22 / 06:31 PM","Lower","132","H","2","1530"
"12-25-22 / 06:31 PM","Lower","147","BB","2","810"
"12-25-22 / 06:31 PM","Lower","112","WC","1","720"
"12-25-22 / 03:19 PM","Upper","316","Y","3","461.72"
"12-25-22 / 03:19 PM","Middle","239","W","2","801.22"
"12-25-22 / 03:19 PM","Middle","239","J","2","787.5"
"12-25-22 / 11:24 AM","Lower","107","T","3","1215.2"
"12-25-22 / 11:24 AM","Field","C","20","4","1377.4"
"12-25-22 / 03:45 AM","Field","G","16","2","1417.5"
"12-24-22 / 03:58 PM","Field","B","2","3","1764"
"12-24-22 / 03:58 PM","Lower","128","CC","2","718.2"
"12-24-22 / 03:58 PM","Upper","329","P","2","404.1"
"12-24-22 / 03:58 PM","Upper","317","G","1","360"
"12-24-22 / 03:58 PM","Upper","307","N","2","566.4"
"12-24-22 / 03:58 PM","Field","C","15","2","1324.41"
"12-24-22 / 03:58 PM","Middle","237","N","3","900"
"12-24-22 / 03:58 PM","Lower","108","M","2","1035"
"12-24-22 / 01:55 AM","Field","F","17","4","1224.64"
"12-24-22 / 01:55 AM","Middle","235","N","2","1040.09"
"12-24-22 / 01:55 AM","Field","B","22","2","1241.08"
"12-24-22 / 01:55 AM","Middle","240","A","2","674.1"
"12-23-22 / 09:54 PM","Middle","202","G","4","810"
"12-23-22 / 10:54 AM","Lower","113","W","2","1260"
"12-23-22 / 10:54 AM","Lower","112","M","2","1252.8"
"12-23-22 / 10:54 AM","Middle","243","K","2","697.5"
"12-23-22 / 10:54 AM","Middle","228","M","2","585"
"12-23-22 / 04:05 AM","Middle","215","Y","2","630"
"12-23-22 / 04:05 AM","Middle","244","R","4","769.27"
"12-22-22 / 11:17 AM","Lower","150","E","2","919.08"
"12-22-22 / 11:17 AM","Middle","238","U","3","540"
"12-21-22 / 11:44 PM","Field","N","7","2","1421"
"12-21-22 / 11:44 PM","Middle","240","V","6","801.65"
"12-21-22 / 11:44 PM","Middle","214","J","2","720"
"12-21-22 / 07:21 PM","Lower","108","W","3","1484.1"
"12-21-22 / 07:21 PM","Middle","232","U","4","1164"
"12-21-22 / 03:08 PM","Lower","135","H","3","1200.5"
"12-21-22 / 03:08 PM","Upper","338","T","1","450"
"12-21-22 / 03:08 PM","Lower","133","N","2","1137.5"
"12-21-22 / 03:08 PM","Upper","307","AA","6","585.76"
"12-21-22 / 11:24 AM","Upper","318","AA","2","495"
"12-21-22 / 11:23 AM","Upper","341","X","2","539"
"12-21-22 / 11:23 AM","Lower","111","F","3","1413.92"
"12-21-22 / 03:32 AM","Field","H","25","3","1080"
"12-21-22 / 03:32 AM","Upper","311","W","2","674.1"
"12-21-22 / 03:32 AM","Upper","318","S","2","420.2"
"12-21-22 / 03:32 AM","Upper","314","G","4","770.6"
"12-21-22 / 03:32 AM","Middle","201","BB","4","803.6"
"12-20-22 / 07:48 PM","Field","G","7","2","1480.48"
"12-20-22 / 07:48 PM","Lower","133","B","1","1001"
"12-20-22 / 07:48 PM","Upper","306","N","3","547.79"
"12-20-22 / 07:48 PM","Upper","339","Y","2","570.41"
"12-20-22 / 07:48 PM","Field","C","21","4","1868.86"
"12-20-22 / 07:48 PM","Lower","132","X","2","1237.24"
"12-20-22 / 07:48 PM","Lower","114","P","2","1376.63"
"12-20-22 / 02:40 PM","Lower","113","V","2","990"
"12-20-22 / 02:40 PM","Upper","340","CC","1","810"
"12-20-22 / 06:09 AM","Upper","314","CC","2","450"
"12-20-22 / 06:09 AM","Field","N","8","2","1484.1"
"12-20-22 / 06:09 AM","Lower","146","E","2","900"
"12-20-22 / 06:09 AM","Upper","311","H","3","630"
"12-20-22 / 06:09 AM","Middle","213","J","2","899.1"
"12-19-22 / 04:38 PM","Upper","333","S","6","709.13"
"12-19-22 / 04:38 PM","Upper","339","N","6","427.5"
"12-19-22 / 04:38 PM","Upper","328","E","2","315"
"12-19-22 / 11:53 AM","Middle","205","CC","2","832.5"
"12-19-22 / 11:53 AM","Upper","328","C","1","354.05"
"12-19-22 / 11:53 AM","Middle","238","AA","2","990"
"12-19-22 / 11:53 AM","Upper","302","D","2","622.3"
"12-18-22 / 10:20 PM","Upper","343","Z","2","351"
"12-18-22 / 10:20 PM","Upper","328","P","1","270"
"12-18-22 / 05:45 PM","Middle","203","J","2","675"
"12-18-22 / 05:45 PM","Upper","339","J","3","540"
"12-18-22 / 05:45 PM","Lower","134","P","4","1800"
"12-18-22 / 05:45 PM","Lower","148","AA","2","1161"
"12-18-22 / 01:18 PM","Middle","227","B","3","720"
"12-18-22 / 01:18 PM","Middle","227","Y","2","450"
"12-18-22 / 01:18 PM","Upper","305","V","6","527.67"
"12-18-22 / 01:18 PM","Upper","315","CC","3","450"
"12-18-22 / 04:30 AM","Middle","208","R","2","821.23"
"12-18-22 / 12:12 AM","Upper","306","T","3","495"
"12-18-22 / 12:12 AM","Upper","309","P","1","396"
"12-18-22 / 12:12 AM","Lower","128","U","3","675"
"12-18-22 / 12:12 AM","Upper","316","Y","3","461.72"
"12-17-22 / 07:17 PM","Upper","307","N","4","566.4"
"12-17-22 / 07:17 PM","Upper","305","E","2","590.73"
"12-17-22 / 07:17 PM","Upper","307","C","2","531"
"12-17-22 / 07:17 PM","Upper","311","L","2","578.2"
"12-17-22 / 07:17 PM","Upper","331","C","2","474.7"
"12-17-22 / 02:34 PM","Upper","339","J","3","540"
"12-17-22 / 02:34 PM","Upper","340","G","2","477"
"12-17-22 / 02:34 PM","Lower","118","CC","2","720"
"12-17-22 / 02:34 PM","Field","F","17","4","900"
"12-17-22 / 05:19 AM","Lower","132","F","2","1350"
"12-17-22 / 05:19 AM","Upper","317","DD","2","420.2"
"12-17-22 / 12:46 AM","Lower","145","","2","900"
"12-17-22 / 12:46 AM","Upper","333","S","2","549"
"12-17-22 / 12:46 AM","Middle","227","C","2","445.5"
"12-17-22 / 12:46 AM","Middle","235","Y","6","1224.64"
"12-17-22 / 12:45 AM","Field","C","5","4","1980"
"12-17-22 / 12:45 AM","Upper","318","U","2","401.8"
"12-16-22 / 02:29 PM","Upper","328","P","1","315"
"12-16-22 / 02:29 PM","Lower","149","T","3","1182.05"
"12-16-22 / 02:29 PM","Upper","313","M","2","607.6"
"12-16-22 / 02:29 PM","Field","G","17","1","1125"
"12-16-22 / 05:16 AM","Field","B","7","3","1445.5"
"12-16-22 / 05:16 AM","Lower","144","V","2","896.73"
