"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-14-23 / 10:36 AM","Upper","336","EE","3","360"
"01-14-23 / 06:48 AM","Lower","110","V","2","1376.63"
"01-14-23 / 06:48 AM","Upper","304","S","3","603"
"01-13-23 / 09:40 PM","Upper","327","CC","2","550.55"
"01-13-23 / 09:40 PM","Upper","318","HH","1","400.5"
"01-13-23 / 04:46 PM","Upper","327","HH","4","772.24"
"01-13-23 / 04:46 PM","Lower","107","CC","2","630"
"01-13-23 / 04:46 PM","Lower","110","GG","2","878.4"
"01-13-23 / 04:46 PM","Lower","135","N","2","1350"
"01-12-23 / 10:27 PM","Upper","305","EE","6","630"
"01-12-23 / 10:27 PM","Lower","125","M","2","1139.28"
"01-12-23 / 05:57 PM","Field","L","16","2","1684.8"
"01-12-23 / 05:57 PM","Lower","111","GG","2","1080"
"01-12-23 / 05:57 PM","Field","D","18","2","2012.4"
"01-12-23 / 01:40 PM","Lower","111","BB","2","990"
"01-12-23 / 01:40 PM","Upper","313","Y","2","538.2"
"01-12-23 / 01:40 PM","Upper","340","Z","2","405"
"01-12-23 / 01:40 PM","Lower","133","M","2","1350"
"01-12-23 / 01:40 PM","Lower","138","Z","2","810"
"01-12-23 / 04:36 AM","Upper","334","J","2","540"
"01-11-23 / 11:50 PM","Field","L","14","1","1170"
"01-11-23 / 11:50 PM","Upper","326","GG","6","728.47"
"01-11-23 / 11:50 PM","Upper","314","EE","1","360"
"01-11-23 / 07:11 PM","Lower","111","Y","2","877.5"
"01-11-23 / 07:11 PM","Upper","337","HH","2","651.01"
"01-11-23 / 06:13 AM","Lower","107","L","1","450"
"01-11-23 / 02:21 AM","Upper","341","GG","2","436.5"
"01-10-23 / 09:44 PM","Field","B","8","2","2065.5"
"01-10-23 / 09:44 PM","Upper","340","FF","3","686.26"
"01-10-23 / 09:44 PM","Upper","313","M","2","567"
"01-10-23 / 09:44 PM","Upper","340","KK","3","594"
"01-10-23 / 09:44 PM","Upper","304","B","2","541.62"
"01-10-23 / 05:38 PM","Field","B","19","3","2039.4"
"01-10-23 / 05:38 PM","Upper","311","EE","2","730.73"
"01-10-23 / 05:38 PM","Upper","327","CC","2","650.65"
"01-10-23 / 05:38 PM","Middle","204","E","2","700.7"
"01-10-23 / 05:38 PM","Middle","236","K","1","726.53"
"01-10-23 / 05:38 PM","Field","M","10","2","2084.2"
"01-10-23 / 05:38 PM","Upper","342","V","3","450"
"01-10-23 / 05:38 PM","Lower","125","Y","2","903.07"
"01-10-23 / 05:38 PM","Field","F","11","2","1524.22"
"01-10-23 / 05:38 PM","Field","L","19","2","1688.37"
"01-10-23 / 05:38 PM","Lower","124","JJ","2","936"
"01-10-23 / 06:54 AM","Middle","229","P","2","767.25"
"01-10-23 / 03:50 AM","Middle","217","R","2","1080"
"01-10-23 / 12:20 AM","Lower","131","FF","3","1170"
"01-10-23 / 12:20 AM","Upper","315","N","2","540"
"01-10-23 / 12:20 AM","Upper","331","FF","2","495"
"01-10-23 / 12:20 AM","Upper","342","Y","2","562.5"
"01-09-23 / 05:02 PM","Upper","342","EE","2","360"
"01-09-23 / 05:02 PM","Upper","311","Z","1","900"
"01-09-23 / 09:58 AM","Upper","342","V","3","450"
"01-09-23 / 09:58 AM","Upper","335","K","2","504"
"01-09-23 / 09:58 AM","Upper","327","CC","2","650.65"
"01-08-23 / 11:38 PM","Upper","317","U","2","791.1"
"01-08-23 / 11:38 PM","Upper","343","B","2","427.5"
"01-08-23 / 11:38 PM","Upper","304","","2","526.5"
"01-08-23 / 07:41 PM","Middle","229","C","2","630"
"01-08-23 / 04:06 PM","Field","H","9","2","2745"
"01-08-23 / 04:06 PM","Upper","328","C","2","585"
"01-08-23 / 03:40 AM","Lower","107","Q","3","629.1"
"01-07-23 / 01:12 PM","Upper","308","BB","2","418.5"
"01-07-23 / 01:12 PM","Field","P","5","2","2415.3"
"01-07-23 / 06:24 AM","Middle","233","H","2","986.98"
"01-06-23 / 11:25 PM","Lower","125","Z","2","925.86"
"01-06-23 / 11:25 PM","Lower","121","Q","2","900"
"01-06-23 / 11:25 PM","Upper","334","T","2","517.5"
"01-06-23 / 07:28 PM","Upper","337","HH","2","661.37"
"01-06-23 / 07:28 PM","Upper","304","DD","2","360"
"01-06-23 / 07:28 PM","Middle","239","F","2","540"
"01-06-23 / 03:57 PM","Upper","317","D","2","854.46"
"01-06-23 / 03:57 PM","Upper","333","JJ","3","720"
"01-06-23 / 12:17 PM","Field","M","19","2","2520"
"01-06-23 / 12:17 PM","Upper","330","KK","3","630"
"01-06-23 / 12:17 PM","Middle","232","C","2","1084.5"
"01-06-23 / 06:01 AM","Upper","311","EE","2","730.73"
"01-06-23 / 06:01 AM","Upper","327","CC","2","650.65"
"01-06-23 / 06:01 AM","Upper","337","HH","2","661.37"
"01-06-23 / 02:13 AM","Upper","326","H","2","508.5"
"01-05-23 / 10:09 PM","Lower","110","G","4","1648.21"
"01-05-23 / 05:59 PM","Upper","327","L","1","292.5"
"01-05-23 / 02:26 PM","Upper","307","AA","2","445.5"
"01-05-23 / 12:41 AM","Upper","343","AA","2","427.5"
"01-05-23 / 12:41 AM","Upper","328","HH","3","630"
"01-05-23 / 12:41 AM","Lower","127","DD","1","630"
"01-04-23 / 09:04 PM","Upper","341","FF","3","448.2"
"01-04-23 / 09:04 PM","Lower","112","J","1","1080"
"01-04-23 / 05:20 PM","Field","H","5","2","3600"
"01-04-23 / 05:20 PM","Upper","318","KK","2","500"
"01-04-23 / 03:25 AM","Upper","341","Q","2","360"
"01-03-23 / 07:25 PM","Upper","318","Z","6","804.13"
"01-03-23 / 03:32 PM","Upper","306","JJ","3","540"
"01-03-23 / 03:32 PM","Upper","327","JJ","3","784.73"
"01-03-23 / 03:32 PM","Upper","327","HH","3","852.63"
"01-03-23 / 03:05 AM","Lower","119","W","2","913.27"
