"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-14-23 / 02:31 AM","Club Level","209","5","2","742.5"
"01-14-23 / 02:31 AM","Terrace Level","419","6","2","359.1"
"01-13-23 / 09:42 PM","Club Level","220","7","6","578.75"
"01-13-23 / 04:48 PM","Terrace Level","417","21","1","360"
"01-13-23 / 04:48 PM","Club Level","222","9","6","582.6"
"01-13-23 / 04:48 PM","Main Level","120","37","3","617.88"
"01-13-23 / 04:48 PM","Terrace Level","419","19","5","411.32"
"01-13-23 / 04:48 PM","Main Level","123","37","3","583.1"
"01-13-23 / 04:47 PM","Main Level","113","17","2","652.5"
"01-13-23 / 04:47 PM","Terrace Level","438","22","4","392.98"
"01-13-23 / 04:47 PM","Main Level","136","18","3","693"
"01-13-23 / 04:47 PM","Main Level","118","29","2","670.5"
"01-13-23 / 12:20 PM","Main Level","128","22","2","731.04"
"01-13-23 / 12:20 PM","Terrace Level","412","14","2","404.03"
"01-13-23 / 12:20 PM","Main Level","122","23","3","598.28"
"01-13-23 / 03:37 AM","Main Level","121","22","2","810"
"01-13-23 / 03:37 AM","Club Level","212","8","2","637"
"01-13-23 / 03:37 AM","Club Level","222","8","1","567"
"01-13-23 / 03:37 AM","Field","H","28","2","1120.65"
"01-13-23 / 03:37 AM","Main Level","133","2","1","899.1"
"01-13-23 / 03:37 AM","Main Level","120","37","2","722"
"01-12-23 / 10:28 PM","Main Level","120","39","2","674.5"
"01-12-23 / 10:28 PM","Main Level","124","17","1","954"
"01-12-23 / 10:28 PM","Club Level","229","9","1","895.5"
"01-12-23 / 10:28 PM","Terrace Level","452","14","2","472.5"
"01-12-23 / 10:28 PM","Main Level","118","17","2","675"
"01-12-23 / 10:28 PM","Terrace Level","448","17","2","401.02"
"01-12-23 / 10:28 PM","Main Level","105","33","4","1080"
"01-12-23 / 10:28 PM","Main Level","116","29","2","585"
"01-12-23 / 09:26 AM","Main Level","124","37","1","552.9"
"01-12-23 / 04:37 AM","Terrace Level","414","8","2","405"
"01-12-23 / 04:37 AM","Terrace Level","416","8","2","450"
"01-11-23 / 07:12 PM","Club Level","230","10","2","563.5"
"01-11-23 / 07:12 PM","Main Level","123","37","3","583.1"
"01-11-23 / 07:12 PM","Club Level","236","6","2","499.5"
"01-11-23 / 07:12 PM","Main Level","120","37","6","617.88"
"01-11-23 / 07:12 PM","Terrace Level","412","20","1","352.8"
"01-11-23 / 07:12 PM","Club Level","232","6","6","607.6"
"01-11-23 / 07:12 PM","Terrace Level","410","","6","489.8"
"01-11-23 / 07:12 PM","Terrace Level","419","19","6","411.32"
"01-11-23 / 07:12 PM","Ring of Honor","428","D","2","585"
"01-11-23 / 10:06 AM","Terrace Level","434","22","1","540"
"01-11-23 / 10:06 AM","Terrace Level","437","22","2","382.5"
"01-11-23 / 02:22 AM","Field","B","28","1","1803.86"
"01-11-23 / 02:22 AM","Terrace Level","410","5","2","360"
"01-10-23 / 09:45 PM","Club Level","246","5","2","360"
"01-10-23 / 09:45 PM","Main Level","114","39","3","603"
"01-10-23 / 09:45 PM","Main Level","121","36","3","809.86"
"01-10-23 / 09:45 PM","Terrace Level","419","16","2","315"
"01-10-23 / 05:38 PM","Terrace Level","411","3","2","649.78"
"01-10-23 / 05:38 PM","Terrace Level","435","9","1","445.5"
"01-10-23 / 05:38 PM","Main Level","118","4","2","774"
"01-10-23 / 05:38 PM","Terrace Level","452","16","4","297.01"
"01-10-23 / 05:38 PM","Main Level","108","38","2","810"
"01-10-23 / 05:38 PM","Terrace Level","419","20","2","379.02"
"01-10-23 / 05:38 PM","Terrace Level","433","12","6","411.05"
"01-10-23 / 05:38 PM","Main Level","123","34","4","713.5"
"01-10-23 / 05:38 PM","Terrace Level","424","2","3","372.88"
"01-10-23 / 05:38 PM","Field","J","38","1","931.2"
"01-10-23 / 05:38 PM","Terrace Level","453","6","2","301.5"
"01-10-23 / 05:38 PM","Terrace Level","436","23","1","270"
"01-10-23 / 05:38 PM","Main Level","134","6","2","1080"
"01-10-23 / 05:38 PM","Ring of Honor","405","B","2","675"
"01-10-23 / 05:38 PM","Main Level","124","39","2","621"
"01-10-23 / 05:38 PM","Club Level","245","10","2","450"
"01-10-23 / 05:38 PM","Main Level","126","14","2","1035"
"01-10-23 / 10:23 AM","Main Level","123","7","2","720"
"01-10-23 / 10:23 AM","Terrace Level","434","13","2","292.5"
"01-10-23 / 03:51 AM","Main Level","135","14","2","630"
"01-10-23 / 12:21 AM","Club Level","203","1","2","540"
"01-10-23 / 12:21 AM","Terrace Level","434","14","4","444.67"
"01-10-23 / 12:21 AM","Terrace Level","442","12","2","495"
"01-10-23 / 12:21 AM","Terrace Level","419","5","2","450"
"01-10-23 / 12:21 AM","Terrace Level","437","22","6","382.5"
"01-10-23 / 12:21 AM","Main Level","108","38","2","810"
"01-10-23 / 12:21 AM","Club Level","217","6","4","587.02"
"01-10-23 / 12:21 AM","Club Level","218","8","6","568.4"
"01-10-23 / 12:21 AM","Terrace Level","437","21","1","270"
"01-10-23 / 12:21 AM","Field","H","2","2","3060"
"01-10-23 / 12:21 AM","Terrace Level","416","2","2","562.5"
"01-10-23 / 12:21 AM","Terrace Level","419","21","2","379.02"
"01-10-23 / 12:21 AM","Club Level","233","4","2","585"
"01-10-23 / 12:21 AM","Field","G","27","2","1122.71"
"01-10-23 / 12:21 AM","Terrace Level","436","20","2","403.49"
"01-10-23 / 12:21 AM","Club Level","216","9","5","660.52"
"01-10-23 / 12:21 AM","Field","B","16","5","2250"
"01-10-23 / 12:21 AM","Terrace Level","413","5","2","360"
"01-09-23 / 05:03 PM","Main Level","112","22","5","748.9"
"01-09-23 / 05:03 PM","Field","N","17","2","1329.16"
"01-09-23 / 05:03 PM","Terrace Level","441","2","2","495"
"01-09-23 / 05:03 PM","Club Level","217","9","5","578.2"
"01-09-23 / 05:03 PM","Loft Level","337","3","1","1230"
"01-09-23 / 05:03 PM","Terrace Level","424","10","2","406.25"
"01-09-23 / 01:27 PM","Club Level","222","8","1","540"
"01-09-23 / 01:27 PM","Terrace Level","409","21","2","365.04"
"01-09-23 / 01:27 PM","Main Level","127","38","2","585"
"01-09-23 / 01:27 PM","Terrace Level","435","19","4","399"
"01-09-23 / 09:58 AM","Club Level","220","8","4","568.4"
"01-09-23 / 03:29 AM","Terrace Level","451","17","2","247.5"
"01-09-23 / 03:29 AM","Club Level","241","7","2","661.25"
"01-09-23 / 03:29 AM","Main Level","118","17","2","675"
"01-09-23 / 03:29 AM","Terrace Level","423","15","3","337.5"
"01-09-23 / 03:29 AM","Main Level","122","23","6","598.28"
"01-09-23 / 03:29 AM","Main Level","124","6","1","625.5"
"01-08-23 / 11:39 PM","Terrace Level","436","23","1","450"
"01-08-23 / 11:39 PM","Terrace Level","437","21","1","450"
"01-08-23 / 11:39 PM","Terrace Level","419","12","2","364.5"
"01-08-23 / 11:39 PM","Main Level","124","39","2","562.5"
"01-08-23 / 11:39 PM","Main Level","113","30","1","427.77"
"01-08-23 / 11:39 PM","Main Level","121","32","6","665"
"01-08-23 / 11:39 PM","Main Level","118","5","1","405"
"01-08-23 / 11:39 PM","Terrace Level","421","23","2","382.5"
"01-08-23 / 11:39 PM","Terrace Level","436","23","2","373.5"
"01-08-23 / 11:39 PM","Main Level","102","14","2","450"
"01-08-23 / 11:39 PM","Terrace Level","453","23","2","346.5"
"01-08-23 / 11:39 PM","Terrace Level","403","23","2","351"
"01-08-23 / 11:39 PM","Main Level","117","16","3","863.67"
"01-08-23 / 11:39 PM","Terrace Level","435","23","4","450"
"01-08-23 / 11:39 PM","Terrace Level","435","7","2","630"
"01-08-23 / 04:06 PM","Club Level","241","6","2","625.73"
"01-08-23 / 04:06 PM","Terrace Level","452","2","2","517.5"
"01-08-23 / 04:06 PM","Main Level","120","39","4","775.2"
"01-08-23 / 04:06 PM","Main Level","125","16","2","711.49"
"01-08-23 / 04:06 PM","Club Level","240","5","2","1080"
"01-08-23 / 12:41 PM","Club Level","241","5","4","748.8"
"01-08-23 / 12:41 PM","Main Level","133","18","2","1012.5"
"01-08-23 / 12:41 PM","Terrace Level","453","6","2","314.67"
"01-08-23 / 06:47 AM","Terrace Level","423","22","4","379.76"
"01-08-23 / 12:20 AM","Terrace Level","434","22","3","405"
"01-08-23 / 12:20 AM","Main Level","128","22","3","819.81"
"01-08-23 / 12:20 AM","Main Level","116","31","2","810"
"01-08-23 / 12:20 AM","Club Level","217","5","2","495"
"01-07-23 / 08:49 PM","Club Level","220","8","6","568.4"
"01-07-23 / 08:49 PM","Field","D","12","1","1710"
"01-07-23 / 04:57 PM","Main Level","124","23","2","568.88"
"01-07-23 / 04:57 PM","Terrace Level","418","11","1","301.5"
"01-07-23 / 04:57 PM","Field","H","30","3","1281.69"
"01-07-23 / 01:12 PM","Main Level","112","22","6","748.9"
"01-07-23 / 01:12 PM","Club Level","230","11","2","540"
"01-07-23 / 09:36 AM","Loft Level","327","4","2","877.5"
"01-07-23 / 03:18 AM","Main Level","135","19","2","877.5"
"01-07-23 / 03:18 AM","Terrace Level","415","13","2","395.99"
"01-06-23 / 07:29 PM","Club Level","205","2","1","990"
"01-06-23 / 07:29 PM","Main Level","123","37","6","583.1"
"01-06-23 / 07:29 PM","Main Level","113","35","4","715.92"
"01-06-23 / 07:29 PM","Main Level","116","39","2","720"
"01-06-23 / 03:58 PM","Main Level","104","6","2","900"
"01-06-23 / 03:58 PM","Main Level","122","36","2","731.7"
"01-06-23 / 03:58 PM","Club Level","217","9","5","578.2"
"01-06-23 / 09:12 AM","Field","C","24","2","1350"
"01-06-23 / 06:02 AM","Main Level","108","38","2","810"
