"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-14-23 / 02:23 AM","Main","226","3","1","630"
"01-14-23 / 02:23 AM","Upper Concourse","438","13","2","486"
"01-13-23 / 09:32 PM","Club Hall of Fame","C115","17","2","1155.42"
"01-13-23 / 09:32 PM","Club Hall of Fame","C114","9","4","1350"
"01-13-23 / 04:36 PM","Hall of Fame","119","13","2","810"
"01-13-23 / 04:36 PM","Hall of Fame","102","19","6","701.78"
"01-13-23 / 12:12 PM","Mezzanine","304","13","2","500.52"
"01-13-23 / 12:12 PM","Hall of Fame","120","17","2","958.36"
"01-13-23 / 12:12 PM","Club Hall of Fame","C113","4","4","1240.63"
"01-13-23 / 03:31 AM","Club Mezzanine","C339","14","2","630"
"01-13-23 / 03:31 AM","Main","224","12","1","765"
"01-13-23 / 03:31 AM","Upper Concourse","409","6","4","360"
"01-12-23 / 10:18 PM","Upper Concourse","436","9","2","562.5"
"01-12-23 / 05:51 PM","Field","P","2","2","1440"
"01-12-23 / 05:51 PM","Upper Concourse","432","22","3","369"
"01-12-23 / 05:50 PM","Mezzanine","303","16","2","540"
"01-12-23 / 05:50 PM","Field","B","26","1","1350"
"01-11-23 / 11:40 PM","Club Main","C235","7","2","900"
"01-11-23 / 11:40 PM","Main","242","9","4","720"
"01-11-23 / 11:40 PM","Upper Concourse","423","20","2","522"
"01-11-23 / 11:40 PM","Field","N","14","1","900"
"01-11-23 / 02:14 AM","Upper Concourse","415","22","2","441"
"01-11-23 / 02:14 AM","Club Main","C210","2","2","1799.1"
"01-11-23 / 02:13 AM","Upper Concourse","444","23","1","630"
"01-10-23 / 09:37 PM","Upper Concourse","409","6","2","585"
"01-10-23 / 09:37 PM","Upper Concourse","414","21","6","539.1"
"01-10-23 / 09:37 PM","Upper Concourse","420","23","2","405"
"01-10-23 / 05:31 PM","Club Main","C232","7","1","1260"
"01-10-23 / 05:31 PM","Club Mezzanine","C335","15","2","720"
"01-10-23 / 05:31 PM","Club Hall of Fame","C112","5","2","1746"
"01-10-23 / 02:11 PM","Mezzanine","327","12","2","930.16"
"01-10-23 / 02:11 PM","Hall of Fame","144","12","6","725.35"
"01-10-23 / 02:11 PM","Hall of Fame","119","14","2","1182.09"
"01-10-23 / 02:11 PM","Field","K","17","6","1546.09"
"01-10-23 / 12:14 AM","Upper Concourse","415","10","2","495"
"01-09-23 / 08:12 PM","Hall of Fame","142","5","2","603"
"01-09-23 / 03:23 AM","Upper Concourse","411","27","6","540"
"01-09-23 / 03:23 AM","Club Hall of Fame","C133","20","2","900"
"01-09-23 / 03:23 AM","Club Hall of Fame","C136","12","2","1440"
"01-09-23 / 01:07 AM","Club Hall of Fame","C107","12","4","1980"
"01-09-23 / 01:07 AM","Upper Concourse","433","","2","472.5"
"01-09-23 / 01:07 AM","Main","218","8","2","1125"
"01-09-23 / 01:07 AM","Upper Concourse","450","","2","423"
"01-08-23 / 09:03 PM","Club Hall of Fame","C108","15","4","1181.82"
"01-08-23 / 09:03 PM","Club Main","C231","9","4","1080"
"01-08-23 / 04:00 PM","Field","J","24","1","1494.22"
"01-08-23 / 01:51 PM","Mezzanine","323","4","2","821.7"
"01-07-23 / 03:10 AM","Upper Concourse","412","23","2","427.5"
"01-06-23 / 03:51 PM","Club Hall of Fame","C108","18","2","1350"
"01-06-23 / 03:51 PM","Upper Concourse","407","13","2","360"
"01-06-23 / 02:04 AM","Mezzanine","329","16","4","765"
"01-06-23 / 02:04 AM","Mezzanine","316","16","2","810"
"01-05-23 / 05:53 PM","Upper Concourse","449","16","2","422.1"
"01-05-23 / 02:20 PM","Club Hall of Fame","C111","19","2","1430.75"
"01-05-23 / 02:20 PM","Hall of Fame","143","13","4","606.6"
"01-05-23 / 04:05 AM","Club Hall of Fame","C114","10","6","1192.13"
"01-05-23 / 04:05 AM","Main","221","9","2","720"
"01-05-23 / 12:31 AM","Club Mezzanine","C307","11","2","562.5"
"01-04-23 / 08:59 PM","Upper Concourse","435","23","2","436.5"
"01-04-23 / 08:59 PM","Club Hall of Fame","C113","7","3","1207.65"
"01-04-23 / 10:05 AM","Field","A","25","2","1684.8"
"01-03-23 / 07:19 PM","Mezzanine","329","6","3","819.65"
"01-03-23 / 03:25 PM","Main","228","10","2","832.5"
"01-03-23 / 03:25 PM","Club Hall of Fame","C134","21","7","1935.15"
"01-03-23 / 03:25 PM","Club Main","C235","3","4","1479.25"
"01-03-23 / 03:25 PM","Hall of Fame","125","21","2","1042.51"
"01-03-23 / 03:25 PM","Club Hall of Fame","C113","19","7","1576.25"
"01-03-23 / 12:14 PM","Club Mezzanine","C338","10","2","810"
"01-03-23 / 02:59 AM","Upper Concourse","437","21","3","540"
"01-03-23 / 02:59 AM","Hall of Fame","144","21","4","899.1"
"01-02-23 / 11:17 PM","Upper Concourse","418","16","3","474.3"
"01-02-23 / 07:27 PM","Main","220","15","2","629.1"
"01-02-23 / 12:42 PM","Mezzanine","323","4","2","731.7"
"01-02-23 / 12:59 AM","Upper Concourse","436","4","3","465.21"
"01-02-23 / 12:59 AM","Upper Concourse","414","26","2","582.79"
"01-01-23 / 06:05 PM","Upper Concourse","445","18","4","630"
"01-01-23 / 06:05 PM","Upper Concourse","450","17","6","450.8"
"01-01-23 / 03:16 PM","Hall of Fame","144","15","3","630"
"01-01-23 / 04:03 AM","Hall of Fame","125","19","2","900"
"01-01-23 / 04:03 AM","Upper Concourse","450","2","4","490.99"
"01-01-23 / 12:59 AM","Mezzanine","318","5","2","675"
"12-31-22 / 09:33 PM","Upper Concourse","439","24","1","360"
"12-31-22 / 02:41 PM","Club Mezzanine","C309","7","5","829.35"
"12-31-22 / 02:41 PM","Club Main","C235","1","2","1799.1"
"12-31-22 / 11:32 AM","Club Hall of Fame","C138","13","2","2700"
"12-31-22 / 04:53 AM","Field","N","15","1","1800"
"12-31-22 / 01:23 AM","Field","N","15","1","1800"
"12-30-22 / 09:40 PM","Hall of Fame","119","14","2","765"
"12-30-22 / 09:40 PM","Club Hall of Fame","C113","5","7","2323.66"
"12-30-22 / 09:40 PM","Club Hall of Fame","C137","17","7","2712.35"
"12-30-22 / 05:54 PM","Club Main","C206","10","2","585"
"12-30-22 / 01:52 PM","Upper Concourse","442","16","6","708.34"
"12-29-22 / 11:12 PM","Main","226","10","2","819"
"12-29-22 / 07:22 PM","Main","241","2","2","810"
"12-29-22 / 07:22 PM","Mezzanine","304","2","3","450"
"12-29-22 / 03:04 PM","Club Hall of Fame","C107","6","2","1350"
"12-29-22 / 03:04 PM","Upper Concourse","409","1","2","450"
"12-29-22 / 03:04 PM","Upper Concourse","450","5","2","417.74"
"12-29-22 / 03:04 PM","Club Main","C212","6","3","1394.89"
"12-29-22 / 03:04 PM","Field","J","5","3","1880.89"
"12-29-22 / 04:19 AM","Upper Concourse","444","20","4","585"
