"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-14-23 / 02:26 AM","Lower","128","V","2","990"
"01-13-23 / 09:35 PM","Lower","113","J","3","1080"
"01-13-23 / 04:39 PM","Upper","317","BB","4","736.96"
"01-13-23 / 04:39 PM","Upper","305","FF","4","450"
"01-13-23 / 04:39 PM","Lower","118","X","2","1051.59"
"01-13-23 / 12:14 PM","Middle","231","V","2","693"
"01-13-23 / 03:33 AM","Field","B","27","6","1470"
"01-12-23 / 01:35 PM","Field","A","40","3","1703.7"
"01-12-23 / 01:35 PM","Upper","309","DD","1","680.12"
"01-12-23 / 04:29 AM","Lower","130","HH","2","1026.29"
"01-11-23 / 11:43 PM","Middle","237","G","3","999.9"
"01-11-23 / 07:05 PM","Lower","111","HH","1","774"
"01-11-23 / 02:27 PM","Lower","109","J","2","1008"
"01-11-23 / 02:27 PM","Lower","126","Z","2","1059.63"
"01-11-23 / 02:27 PM","Upper","307","B","4","540"
"01-11-23 / 02:27 PM","Lower","125","DD","2","989.9"
"01-11-23 / 02:17 AM","Lower","131","K","2","913.64"
"01-10-23 / 05:33 PM","Lower","137","E","3","1080"
"01-10-23 / 05:33 PM","Lower","119","KK","2","990"
"01-10-23 / 05:33 PM","Upper","334","Z","1","405"
"01-10-23 / 05:33 PM","Middle","212","H","1","675"
"01-10-23 / 05:33 PM","Field","C","24","2","2024.07"
"01-10-23 / 12:16 AM","Field","C","3","2","3600"
"01-10-23 / 12:16 AM","Upper","307","DD","4","517.99"
"01-10-23 / 12:16 AM","Lower","130","CC","5","1350"
"01-09-23 / 04:58 PM","Upper","304","Y","1","371.7"
"01-09-23 / 04:58 PM","Field","H","8","2","1470.52"
"01-09-23 / 04:58 PM","Field","G","4","2","1936.4"
"01-09-23 / 04:58 PM","Upper","340","CC","2","484.1"
"01-09-23 / 04:58 PM","Upper","318","HH","1","472.5"
"01-09-23 / 04:58 PM","Upper","331","V","4","585"
"01-09-23 / 01:24 PM","Upper","309","B","1","435.53"
"01-09-23 / 01:24 PM","Upper","305","KK","2","427.5"
"01-09-23 / 01:24 PM","Lower","109","Q","2","742.5"
"01-09-23 / 09:52 AM","Middle","212","S","4","1047.66"
"01-09-23 / 06:57 AM","Lower","116","DD","3","1137.44"
"01-09-23 / 03:25 AM","Upper","321","V","2","540"
"01-08-23 / 11:33 PM","Upper","304","","2","486"
