"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-14-23 / 02:23 AM","Mezzanine","327","4","3","848.12"
"01-14-23 / 02:23 AM","Upper Concourse","421","23","2","467.26"
"01-14-23 / 02:23 AM","Upper Concourse","407","2","2","405"
"01-13-23 / 09:32 PM","Field","H","5","2","1638"
"01-13-23 / 09:32 PM","Upper Concourse","443","18","3","509.6"
"01-13-23 / 04:36 PM","Mezzanine","329","5","2","753.69"
"01-13-23 / 04:36 PM","Field","B","5","2","2644.04"
"01-13-23 / 04:36 PM","Mezzanine","317","2","1","629.1"
"01-13-23 / 04:36 PM","Upper Concourse","412","3","2","585"
"01-13-23 / 12:12 PM","Mezzanine","342","6","4","562.5"
"01-13-23 / 12:11 PM","Club Mezzanine","C336","11","2","819"
"01-13-23 / 12:11 PM","Upper Concourse","407","3","1","270"
"01-13-23 / 03:31 AM","Hall of Fame","102","14","1","486"
"01-12-23 / 10:18 PM","Field","A","16","4","1838.2"
"01-12-23 / 05:50 PM","Club Mezzanine","C309","7","1","900"
"01-12-23 / 05:50 PM","Field","C","20","1","1698.06"
"01-12-23 / 05:50 PM","Club Hall of Fame","C111","12","6","1744.06"
"01-12-23 / 05:50 PM","Upper Concourse","440","16","6","514.5"
"01-12-23 / 05:50 PM","Club Hall of Fame","C135","11","2","2385"
"01-12-23 / 05:50 PM","Club Mezzanine","C313","8","2","905.45"
"01-12-23 / 01:33 PM","Hall of Fame","125","8","6","1323"
"01-11-23 / 11:40 PM","Club Hall of Fame","C107","18","3","1125"
"01-11-23 / 11:40 PM","Field","C","14","2","1526.4"
"01-11-23 / 11:40 PM","Club Hall of Fame","C138","18","2","1350"
"01-11-23 / 07:02 PM","Club Mezzanine","C309","6","4","900"
"01-11-23 / 07:02 PM","Club Mezzanine","C336","10","2","999.9"
"01-11-23 / 07:02 PM","Upper Concourse","435","22","2","591.5"
"01-11-23 / 02:13 AM","Upper Concourse","412","27","2","386.1"
"01-11-23 / 02:13 AM","Upper Concourse","416","16","1","396.73"
"01-10-23 / 05:31 PM","Field","J","6","4","1658.16"
"01-10-23 / 05:31 PM","Main","241","3","2","630"
"01-10-23 / 05:31 PM","Upper Concourse","439","20","3","495"
"01-10-23 / 02:11 PM","Mezzanine","342","8","3","450"
"01-10-23 / 10:16 AM","Mezzanine","342","8","2","450"
"01-10-23 / 03:43 AM","Club Mezzanine","C312","13","2","720"
"01-09-23 / 04:56 PM","Upper Concourse","433","17","2","450"
"01-09-23 / 04:56 PM","Field","K","3","2","1620"
"01-09-23 / 03:23 AM","Field","P","15","2","1273.5"
"01-09-23 / 03:23 AM","Club Mezzanine","C314","1","2","1166.42"
"01-08-23 / 11:31 PM","Upper Concourse","411","6","1","898.2"
"01-08-23 / 11:31 PM","Main","229","7","2","810"
"01-08-23 / 11:31 PM","Hall of Fame","120","7","3","1260"
"01-08-23 / 04:00 PM","Field","A","5","2","2420.15"
"01-08-23 / 03:33 AM","Main","241","15","3","629.1"
"01-08-23 / 03:33 AM","Main","218","1","2","990"
"01-08-23 / 12:13 AM","Mezzanine","329","8","4","945"
"01-08-23 / 12:13 AM","Field","H","20","1","1440"
"01-08-23 / 12:13 AM","Main","242","4","2","472.5"
"01-07-23 / 08:39 PM","Upper Concourse","432","11","3","546"
"01-07-23 / 08:39 PM","Field","H ADA","2W","1","630"
"01-07-23 / 04:45 PM","Upper Concourse","420","16","1","405"
"01-07-23 / 06:18 AM","Upper Concourse","433","1","1","485"
"01-07-23 / 03:10 AM","Upper Concourse","434","22","1","536.9"
"01-07-23 / 03:10 AM","Upper Concourse","446","18","2","399.6"
