"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-14-23 / 02:34 AM","300-Level","309","22","2","540"
"01-14-23 / 02:34 AM","300-Level","334","26","2","585"
"01-13-23 / 09:45 PM","100-Level Club","111C","35","2","990"
"01-13-23 / 09:45 PM","100-Level","132","6","3","666.9"
"01-13-23 / 09:45 PM","100-Level","117","31","2","775"
"01-13-23 / 04:50 PM","300-Level","347","13","3","472.77"
"01-13-23 / 04:50 PM","100-Level","132","9","2","652.5"
"01-13-23 / 04:50 PM","300-Level","328","7","4","720"
"01-13-23 / 04:50 PM","300-Level","323","17","2","810"
"01-13-23 / 04:50 PM","300-Level","324","20","1","531"
"01-13-23 / 12:22 PM","200-Level","207","9","3","945"
"01-13-23 / 03:40 AM","100-Level","113","12","2","1800"
"01-13-23 / 03:40 AM","100-Level","113","17","2","1367.1"
"01-13-23 / 03:40 AM","200-Level","204","8","1","450"
"01-13-23 / 03:40 AM","300-Level","333","19","2","450"
"01-12-23 / 06:02 PM","200-Level","205","5","2","810"
"01-12-23 / 06:02 PM","100-Level Club","126C","4","2","1664.1"
"01-12-23 / 06:02 PM","100-Level","115","26","2","1440"
"01-12-23 / 01:43 PM","100-Level","125","17","3","1215"
"01-12-23 / 01:43 PM","300-Level","313","18","4","693.06"
"01-12-23 / 01:43 PM","300-Level","342","10","2","585"
"01-12-23 / 04:40 AM","Field Level","FLR-A","31","6","1452.3"
"01-11-23 / 07:14 PM","100-Level","125","28","2","990"
"01-11-23 / 07:14 PM","100-Level Club","130C","27","2","1213.95"
"01-11-23 / 07:14 PM","Field Level","FLR-A","23","6","1323"
"01-11-23 / 02:38 PM","200-Level Club","237C","3","2","1488"
"01-11-23 / 02:38 PM","200-Level Club","211C","3","4","1526.13"
"01-11-23 / 06:15 AM","300-Level","315","23","3","661.5"
"01-11-23 / 02:25 AM","100-Level","114","28","1","1350"
"01-10-23 / 09:48 PM","300-Level","347","14","2","486.54"
"01-10-23 / 09:48 PM","300-Level","347","13","6","472.77"
"01-10-23 / 12:23 AM","Field Level","FLR-A","25","3","1274"
"01-09-23 / 08:23 PM","200-Level","204","2","2","652.5"
"01-09-23 / 05:05 PM","300-Level","337","2","2","720"
"01-09-23 / 01:29 PM","100-Level","116","39","2","1080"
"01-09-23 / 01:29 PM","Field Level","FLR-J","14","4","1800"
"01-08-23 / 11:42 PM","Loge Box","132L","26","4","810"
"01-08-23 / 07:43 PM","100-Level Club","108C","4","2","2047.92"
"01-08-23 / 07:43 PM","300-Level","319","18","4","675"
"01-08-23 / 04:08 PM","100-Level","131","31","2","720"
"01-08-23 / 04:08 PM","Field Level","FLR-L","18","2","1305"
"01-08-23 / 12:44 PM","300-Level","347","11","2","517.5"
"01-08-23 / 06:49 AM","Field Level","FLR-N","11","1","1800"
"01-08-23 / 03:43 AM","Field Level","FLR-M","18","2","1350"
"01-08-23 / 12:21 AM","300-Level","338","15","6","666"
"01-07-23 / 08:52 PM","100-Level Club","128C","20","2","1350"
"01-07-23 / 05:00 PM","300-Level","327","21","2","630"
"01-07-23 / 05:00 PM","100-Level","118","30","3","1440"
"01-07-23 / 09:39 AM","100-Level Club","129C","2","7","1909.29"
"01-07-23 / 03:20 AM","100-Level","133","20","2","900"
"01-07-23 / 03:20 AM","100-Level Club","110C","13","2","1644.16"
"01-06-23 / 11:27 PM","100-Level","133","39","2","783"
"01-06-23 / 11:27 PM","200-Level","222","5","2","765"
"01-06-23 / 07:30 PM","100-Level Club","108C","23","2","900"
"01-06-23 / 06:03 AM","300-Level","340","25","2","628.2"
"01-06-23 / 02:15 AM","200-Level","206","2","2","675"
"01-05-23 / 06:01 PM","100-Level Club","130C","11","2","1170"
"01-05-23 / 02:28 PM","100-Level Club","128C","12","3","1620"
"01-05-23 / 02:28 PM","300-Level","347","14","6","596.7"
"01-05-23 / 12:45 AM","100-Level Club","129C","31","3","1305"
"01-04-23 / 05:22 PM","Field Level","FLR-B","30","4","1300.5"
"01-04-23 / 01:27 PM","100-Level Club","130C","19","4","1710"
"01-03-23 / 11:28 PM","Field Level","FLR-H","19","2","1170"
"01-03-23 / 07:28 PM","300-Level","331","21","6","734.02"
"01-03-23 / 07:28 PM","Field Level","FLR-G","27","2","1080"
"01-03-23 / 07:28 PM","100-Level Club","128C","26","1","810"
"01-03-23 / 03:34 PM","Field Level","FLR-H","5","2","1544.86"
"01-03-23 / 03:34 PM","100-Level Club","110C","13","2","1644.15"
"01-03-23 / 03:34 PM","100-Level","131","20","2","1031.4"
"01-03-23 / 03:08 AM","Field Level","FLR-G","1","2","1435.5"
"01-02-23 / 11:27 PM","Field Level","FLR-D","2","2","1620"
"01-02-23 / 07:35 PM","100-Level","122","35","2","1080"
"01-02-23 / 04:11 PM","Field Level","FLR-N","17","2","1440"
"01-02-23 / 04:11 PM","300-Level","327","10","2","607.5"
"01-02-23 / 04:11 PM","300-Level","304","22","6","720"
"01-02-23 / 04:11 PM","100-Level Club","126C","12","1","765"
"01-02-23 / 12:50 PM","300-Level","345","15","2","675"
"01-02-23 / 12:50 PM","100-Level","116","28","1","765"
"01-02-23 / 12:50 PM","300-Level","341","2","2","990"
"01-02-23 / 10:03 AM","Field Level","FLR-B","15","2","1250.1"
"01-02-23 / 01:07 AM","300-Level","341","20","2","585"
"01-02-23 / 01:07 AM","300-Level","342","2","3","661.5"
"01-01-23 / 03:22 PM","300-Level","342","13","2","495"
"01-01-23 / 12:32 PM","300-Level","320","8","3","787.5"
"01-01-23 / 12:32 PM","300-Level","319","8","2","810"
"01-01-23 / 01:06 AM","300-Level","310","5","3","720"
"12-31-22 / 02:50 PM","100-Level Club","129C","12","2","1169.1"
"12-31-22 / 02:50 PM","100-Level","124","19","2","1800"
"12-31-22 / 11:37 AM","300-Level","326","24","2","585"
"12-31-22 / 05:00 AM","300-Level","325","16","1","494.1"
"12-31-22 / 01:31 AM","300-Level","341","22","2","607.5"
"12-31-22 / 01:31 AM","300-Level","343","17","1","522"
"12-30-22 / 06:06 PM","300-Level","328","3","5","900"
"12-30-22 / 06:06 PM","300-Level","335","11","3","675"
"12-30-22 / 02:01 PM","300-Level","318","5","2","517.5"
"12-30-22 / 02:01 PM","100-Level Club","130C","31","2","900"
"12-30-22 / 03:05 AM","200-Level","218","12","2","720"
"12-29-22 / 11:21 PM","100-Level","120","25","2","1170"
"12-29-22 / 07:32 PM","Field Level","FLR-G","8","2","2812.5"
"12-29-22 / 07:32 PM","300-Level","347","13","3","450"
"12-29-22 / 07:32 PM","300-Level","337","21","2","648"
"12-29-22 / 12:32 AM","100-Level","132","24","2","675"
"12-29-22 / 12:32 AM","Field Level","FLR-G","24","2","990"
"12-29-22 / 12:32 AM","200-Level","220","2","2","1350"
"12-29-22 / 12:32 AM","300-Level","343","16","3","585"
"12-28-22 / 04:29 PM","100-Level Club","127C","7","2","1125"
"12-28-22 / 04:29 PM","300-Level","317","23","2","675"
"12-28-22 / 02:23 AM","300-Level","313","21","3","607.5"
"12-28-22 / 02:23 AM","100-Level","119","33","1","720"
"12-28-22 / 02:23 AM","300-Level","345","10","1","450"
"12-28-22 / 02:23 AM","100-Level Club","128C","27","2","2160"
"12-27-22 / 06:49 PM","Field Level","FLR-J","26","2","855"
"12-27-22 / 03:04 PM","100-Level Club","128C","11","3","1687.5"
"12-27-22 / 03:04 PM","100-Level","114","13","4","1665"
"12-27-22 / 12:38 AM","Field Level","FLR-N","11","1","1170"
"12-27-22 / 12:38 AM","300-Level","336","1A","2","630"
"12-27-22 / 12:38 AM","300-Level","322","21","4","734.02"
"12-27-22 / 12:38 AM","300-Level","345","15","2","760"
"12-25-22 / 09:51 PM","300-Level","319","8","1","540"
"12-25-22 / 06:37 PM","100-Level","124","10","2","1080"
"12-25-22 / 06:37 PM","200-Level","204","11","1","495"
"12-25-22 / 06:37 PM","300-Level","347","3","3","450"
"12-25-22 / 06:37 PM","300-Level","331","21","2","832.5"
"12-25-22 / 11:31 AM","300-Level","336","1A","2","630"
"12-25-22 / 11:31 AM","300-Level","337","26","2","576"
"12-25-22 / 07:43 AM","300-Level","336","26","3","630"
"12-25-22 / 03:54 AM","100-Level","131","41","2","855"
"12-25-22 / 03:54 AM","300-Level","319","3","2","937.44"
"12-25-22 / 03:54 AM","100-Level","121","10","2","1350"
"12-25-22 / 03:54 AM","100-Level","125","42A","1","765"
"12-25-22 / 03:54 AM","300-Level","342","13","2","630"
"12-24-22 / 11:11 PM","Field Level","FLR-H","19","2","2205"
"12-24-22 / 11:11 PM","100-Level Club","128C","29","3","1485"
"12-24-22 / 11:11 PM","Field Level","FLR-D","23","6","1355.48"
"12-24-22 / 04:07 PM","100-Level","120","38","2","1125"
"12-24-22 / 04:07 PM","100-Level","114","26","3","1300.05"
"12-24-22 / 04:07 PM","100-Level","123","31","2","1075.5"
"12-24-22 / 04:07 PM","200-Level","207","6","3","989.1"
"12-24-22 / 09:33 AM","300-Level","325","7","2","720"
"12-23-22 / 09:59 PM","300-Level","317","24","2","585"
"12-23-22 / 09:59 PM","Field Level","FLR-P","7","2","2025"
"12-23-22 / 06:36 PM","200-Level","232","6","4","900"
"12-23-22 / 11:01 AM","100-Level","123","23","2","1080"
"12-23-22 / 11:01 AM","300-Level","334","13","2","625.5"
"12-23-22 / 01:40 AM","100-Level","132","6","3","1619.1"
"12-22-22 / 07:37 AM","Field Level","FLR-C","8","3","1959.02"
"12-22-22 / 07:37 AM","S2 Suite Level","S223","","2","765"
"12-22-22 / 07:37 AM","300-Level","345","14","6","710.5"
"12-22-22 / 07:37 AM","300-Level","315","23","6","783.02"
"12-22-22 / 07:37 AM","Field Level","FLR-N","24","4","3430"
"12-22-22 / 07:37 AM","200-Level","225","10","4","1357.3"
"12-21-22 / 11:50 PM","100-Level Club","108C","19","1","1260"
"12-21-22 / 11:50 PM","Field Level","FLR-C","10","1","2520"
"12-21-22 / 11:50 PM","100-Level Club","130C","14","2","1215"
"12-21-22 / 11:50 PM","200-Level","218","6","2","1053"
"12-21-22 / 11:49 PM","100-Level","133","21","2","648"
"12-21-22 / 07:27 PM","S1 Suite Level","S133","30","2","855"
"12-21-22 / 07:27 PM","200-Level","225","1","2","1091.25"
"12-21-22 / 07:27 PM","100-Level","120","29","2","900"
"12-21-22 / 07:27 PM","300-Level","342","15","2","630"
"12-21-22 / 07:27 PM","300-Level","304","13","2","355.5"
"12-21-22 / 07:27 PM","300-Level","345","15","2","675"
"12-21-22 / 07:27 PM","300-Level","342","11","1","450"
"12-21-22 / 07:27 PM","100-Level","113","21","2","1224.64"
"12-21-22 / 07:27 PM","300-Level","319","8","2","630"
"12-21-22 / 11:30 AM","200-Level","221","9","2","899.1"
"12-21-22 / 11:30 AM","300-Level","337","26","2","576"
"12-21-22 / 07:24 AM","Field Level","FLR-F","11","3","2430"
"12-21-22 / 07:24 AM","300-Level","321","25","2","495"
