"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-14-23 / 02:23 AM","Field","J","5","2","1507.5"
"01-13-23 / 09:32 PM","Lower","138","V","2","697.5"
"01-13-23 / 09:32 PM","Field","H","20","1","1350"
"01-13-23 / 09:32 PM","Lower","151","X","1","765"
"01-13-23 / 09:32 PM","Lower","118","CC","2","730.09"
"01-13-23 / 04:36 PM","Lower","126","F","2","1350"
"01-13-23 / 03:31 AM","Upper","329","Y","2","315"
"01-13-23 / 03:31 AM","Middle","245","G","1","639"
"01-13-23 / 03:31 AM","Upper","311","X","1","441.35"
"01-12-23 / 10:18 PM","Upper","314","CC","2","396"
"01-12-23 / 10:18 PM","Field","J","28","2","967.5"
"01-12-23 / 10:18 PM","Lower","151","X","2","765"
"01-12-23 / 10:18 PM","Middle","232","J","2","900"
"01-12-23 / 05:51 PM","Lower","144","K","2","1035"
"01-12-23 / 05:51 PM","Lower","109","V","2","1566.63"
"01-12-23 / 05:51 PM","Lower","114","CC","2","855"
"01-12-23 / 09:18 AM","Upper","337","E","2","450"
"01-12-23 / 04:27 AM","Lower","139","B","2","1440"
"01-12-23 / 04:27 AM","Upper","308","Z","3","607.5"
"01-12-23 / 04:27 AM","Field","H","21","2","1350"
"01-11-23 / 11:40 PM","Middle","229","R","2","740.28"
"01-11-23 / 07:02 PM","Lower","138","R","1","585"
"01-11-23 / 07:02 PM","Middle","207","DD","3","1022.12"
"01-11-23 / 07:02 PM","Lower","136","S","2","1365"
"01-11-23 / 07:02 PM","Field","P","8","2","2070"
"01-11-23 / 07:02 PM","Field","C","13","2","1323"
"01-11-23 / 02:26 PM","Middle","201","L","3","855"
"01-11-23 / 02:26 PM","Upper","313","Z","2","495"
"01-11-23 / 11:28 AM","Middle","218","S","2","695"
"01-10-23 / 05:31 PM","Upper","338","V","2","562.5"
"01-10-23 / 05:31 PM","Middle","227","F","1","450"
"01-10-23 / 10:16 AM","Lower","137","BB","4","1710"
"01-10-23 / 03:43 AM","Lower","128","BB","2","990"
"01-09-23 / 08:12 PM","Middle","207","U","5","900"
"01-08-23 / 11:31 PM","Upper","317","DD","4","540"
"01-08-23 / 11:31 PM","Lower","147","AA","4","1795.5"
"01-08-23 / 07:34 PM","Field","A","25","2","2160"
"01-08-23 / 12:13 AM","Upper","307","DD","2","539.1"
"01-08-23 / 12:13 AM","Lower","149","L","2","1215"
"01-08-23 / 12:13 AM","Field","L","9","2","1665"
"01-07-23 / 08:39 PM","Field","L","30","2","1080"
"01-07-23 / 08:39 PM","Upper","305","X","4","733.9"
"01-07-23 / 08:39 PM","Field","B","28","3","1679.83"
"01-07-23 / 01:05 PM","Lower","111","W","1","1350"
"01-07-23 / 01:05 PM","Middle","238","L","2","899.1"
"01-06-23 / 11:19 PM","Field","B","10","6","2300"
"01-06-23 / 07:22 PM","Middle","238","L","3","899.1"
"01-06-23 / 03:51 PM","Middle","214","AA","2","1080"
"01-06-23 / 12:11 PM","Lower","132","P","2","1959.3"
"01-06-23 / 02:04 AM","Field","B","15","2","1800"
"01-06-23 / 02:04 AM","Upper","316","U","4","405"
"01-06-23 / 02:04 AM","Upper","331","W","2","900"
"01-05-23 / 05:53 PM","Field","H","18","4","1350"
"01-05-23 / 05:53 PM","Upper","338","Y","2","630"
"01-05-23 / 05:53 PM","Lower","109","U","2","1747.94"
