"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-14-23 / 06:50 AM","300-Level","334","9","2","351"
"01-14-23 / 06:50 AM","100-Level","107","10","1","675"
"01-14-23 / 06:50 AM","400-Level","434","11","2","345"
"01-14-23 / 06:50 AM","100-Level","102","23","2","638.1"
"01-14-23 / 06:50 AM","300-Level","305","15","2","464.52"
"01-14-23 / 06:50 AM","Field","A6","6","2","1080"
"01-14-23 / 06:50 AM","Field","A8","20","6","1296.54"
"01-14-23 / 06:50 AM","300-Level","335","2","2","513"
"01-14-23 / 06:50 AM","200-Level","201","3","2","765"
"01-14-23 / 06:50 AM","Field","A4","17","4","1237.5"
"01-14-23 / 06:50 AM","200-Level","230","7","4","585"
"01-13-23 / 09:43 PM","200-Level","200-Level","4","2","720"
"01-13-23 / 09:43 PM","100-Level","C136","32","2","810"
"01-13-23 / 09:43 PM","100-Level","129","17","3","705.41"
"01-13-23 / 04:48 PM","Field","A3","10","3","1800"
"01-13-23 / 04:48 PM","300-Level","316","12","3","450"
"01-13-23 / 04:48 PM","400-Level","436","13","4","360"
"01-13-23 / 04:48 PM","Field","A8","21","2","900"
"01-13-23 / 04:48 PM","100-Level","130","34","2","1077.99"
"01-13-23 / 04:48 PM","100-Level","129","9","2","1091.81"
"01-13-23 / 03:38 AM","300-Level","345","15","4","450"
"01-13-23 / 03:38 AM","Field","A13","13","2","1259.31"
"01-13-23 / 03:38 AM","Field","B1","1","3","863.4"
"01-13-23 / 03:38 AM","100-Level","129","35","2","855"
"01-13-23 / 03:38 AM","100-Level","108","31","4","763.44"
"01-13-23 / 03:38 AM","400-Level","407","6","2","401.6"
"01-13-23 / 03:38 AM","400-Level","409","5","2","408.24"
"01-12-23 / 10:28 PM","300-Level","306","9","2","332.1"
"01-12-23 / 10:28 PM","Field","A3","21","3","810"
"01-12-23 / 06:00 PM","300-Level","312","6","2","540"
"01-12-23 / 06:00 PM","100-Level","119","19","4","549"
"01-12-23 / 06:00 PM","Field","B1","11","3","675"
"01-12-23 / 05:59 PM","100-Level","C137","36","2","652.5"
"01-12-23 / 05:59 PM","100-Level","118","37","6","705.87"
"01-12-23 / 01:41 PM","100-Level","127","25","1","495"
"01-12-23 / 01:41 PM","300-Level","300-Level","","2","270"
"01-12-23 / 04:38 AM","400-Level","433","8","3","337.5"
"01-12-23 / 04:38 AM","400-Level","408","13","2","450"
"01-11-23 / 11:52 PM","400-Level","409","13","3","449.1"
"01-11-23 / 07:13 PM","300-Level","314","3","2","765"
"01-11-23 / 02:35 PM","100-Level","139","16","3","765"
"01-11-23 / 02:35 PM","100-Level","140","18","2","688.5"
"01-11-23 / 06:14 AM","300-Level","331","13A","2","306"
"01-11-23 / 06:14 AM","300-Level","341","7","2","438.3"
"01-11-23 / 06:14 AM","100-Level","105","32","2","648"
"01-11-23 / 02:23 AM","Field","A2","16","2","1552.5"
"01-11-23 / 02:23 AM","Field","B1","15","2","720"
"01-11-23 / 02:23 AM","300-Level","335","5","2","450"
"01-11-23 / 02:23 AM","Field","A7","7","1","944.1"
"01-11-23 / 02:23 AM","100-Level","130","37","2","900"
