"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-14-23 / 10:31 AM","Upper","628","A","2","360"
"01-14-23 / 02:23 AM","Loge","514","J","1","362.11"
"01-14-23 / 02:23 AM","Field","P","8","2","1372"
"01-14-23 / 02:23 AM","Lower","108","FF","1","675"
"01-13-23 / 09:32 PM","Upper","752","Q","1","630"
"01-13-23 / 09:32 PM","Upper","606","P","2","500"
"01-13-23 / 07:47 AM","Lower","106","K","2","1349.1"
"01-13-23 / 03:31 AM","Field","F","7","2","980"
"01-13-23 / 03:31 AM","Upper","601","D","2","382.5"
"01-13-23 / 03:31 AM","Upper","650","L","2","540"
"01-13-23 / 03:31 AM","Lower","112","K","2","612"
"01-12-23 / 10:18 PM","Field","A","19","1","1092.6"
"01-12-23 / 10:18 PM","Upper","608","J","2","759.21"
"01-12-23 / 05:51 PM","Upper","610","H","2","337.5"
"01-12-23 / 05:51 PM","Lower","129","BB","2","1368"
"01-12-23 / 01:33 PM","Lower","127","FF","2","1259.1"
"01-12-23 / 01:33 PM","Club","347","C","2","767.27"
"01-12-23 / 01:33 PM","Upper","611","K","3","495"
"01-12-23 / 04:27 AM","Upper","605","M","2","660.82"
"01-11-23 / 07:02 PM","Upper","637","L","2","477"
"01-11-23 / 07:02 PM","Loge","510","H","4","850.5"
"01-11-23 / 07:02 PM","Lower","134","AA","2","810"
"01-11-23 / 07:02 PM","Field","G","8","2","1200.47"
"01-11-23 / 07:02 PM","Lower","136","H","2","1028.7"
"01-11-23 / 02:14 AM","Upper","604","K","1","315"
"01-11-23 / 02:14 AM","Field","K","4","6","1139.28"
"01-11-23 / 02:14 AM","Field","L","8","6","1614.15"
"01-10-23 / 09:37 PM","Upper","752","P","2","522.17"
"01-10-23 / 09:37 PM","Field","P","12","3","1563.1"
"01-10-23 / 02:11 PM","Field","N","15","4","1773.78"
"01-10-23 / 12:14 AM","Upper","611","M","2","450"
"01-10-23 / 12:14 AM","Club","353","E","2","1012.5"
"01-10-23 / 12:14 AM","Field","D","13","2","1318.1"
"01-09-23 / 08:12 PM","Field","P","8","4","1372"
"01-09-23 / 08:12 PM","Upper","642","M","3","630"
"01-09-23 / 04:56 PM","Field","G","25","3","1098"
"01-09-23 / 09:49 AM","Field","N","7","2","1615.05"
"01-09-23 / 03:23 AM","Upper","743","P","6","612.36"
"01-08-23 / 04:00 PM","Lower","124","N","2","900"
"01-08-23 / 04:00 PM","Upper","605","B","2","900"
"01-08-23 / 09:30 AM","Lower","105","CC","2","1350"
"01-08-23 / 03:33 AM","Field","D","7","1","1620"
"01-08-23 / 03:33 AM","Loge","547","G","3","810"
"01-08-23 / 03:33 AM","Loge","528","J","2","412.25"
"01-08-23 / 12:13 AM","Lower","139","Y","3","1425.9"
"01-07-23 / 04:45 PM","Loge","512","J","4","539.1"
"01-06-23 / 11:19 PM","Club","331","T","2","450"
"01-06-23 / 11:19 PM","Upper","645","C","1","329.8"
"01-06-23 / 11:19 PM","Field","E","5","2","1624.75"
"01-06-23 / 07:22 PM","Field","N","15","6","1499.5"
"01-06-23 / 12:11 PM","Lower","110","Z","2","765"
"01-06-23 / 02:04 AM","Upper","605","C","2","405"
"01-06-23 / 02:04 AM","Upper","606","A","6","841.73"
"01-06-23 / 02:04 AM","Upper","615","L","4","472.5"
"01-06-23 / 02:04 AM","Upper","632","M","3","603.25"
"01-05-23 / 10:02 PM","Lower","134","FF","2","988.04"
"01-05-23 / 10:02 PM","Upper","602","M","2","386.1"
"01-05-23 / 05:53 PM","Upper","612","Q","5","517.23"
"01-05-23 / 05:53 PM","Lower","121","X","3","711"
"01-05-23 / 02:20 PM","Club","333","L","1","540"
"01-05-23 / 02:20 PM","Club","340","T","2","787.5"
"01-05-23 / 04:05 AM","Field","E","2","2","1350"
