"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-14-23 / 10:31 AM","Main Level","113","19","1","495"
"01-14-23 / 06:40 AM","Field","H","30","1","810"
"01-14-23 / 06:40 AM","Terrace Level","433","7","2","433.15"
"01-14-23 / 02:23 AM","Terrace Level","448","8","2","351"
"01-14-23 / 02:23 AM","Terrace Level","446","12","2","530.1"
"01-14-23 / 02:23 AM","Terrace Level","403","20","2","313.12"
"01-14-23 / 02:23 AM","Terrace Level","440","23","2","382.2"
"01-14-23 / 02:23 AM","Field","G","7","2","1800"
"01-14-23 / 02:23 AM","Terrace Level","414","17","2","471.95"
"01-14-23 / 02:23 AM","Terrace Level","403","12","4","270"
"01-14-23 / 02:23 AM","Club Level","232","12","2","578.2"
"01-14-23 / 02:23 AM","Club Level","228","8","6","624.26"
"01-14-23 / 02:23 AM","Club Level","231","9","6","633.86"
"01-14-23 / 02:23 AM","Main Level","123","5","1","838.95"
"01-14-23 / 02:23 AM","Club Level","216","4","2","563.4"
"01-14-23 / 02:23 AM","Club Level","203","9","1","360"
"01-14-23 / 02:23 AM","Main Level","115","22","1","518.95"
"01-14-23 / 02:23 AM","Terrace Level","403","","2","317.59"
"01-13-23 / 04:36 PM","Main Level","105","29","3","1270.8"
"01-13-23 / 04:36 PM","Terrace Level","453","6","1","297"
"01-13-23 / 04:36 PM","Terrace Level","410","22","2","391.29"
"01-13-23 / 04:36 PM","Terrace Level","409","10","2","420.37"
"01-13-23 / 04:36 PM","Main Level","107","26","1","704.1"
"01-13-23 / 04:36 PM","Club Level","210","6","1","748.84"
"01-13-23 / 12:11 PM","Field","C","25","4","2084.92"
"01-13-23 / 12:11 PM","Club Level","221","7","1","540"
"01-13-23 / 03:31 AM","Main Level","103","27","2","585"
"01-13-23 / 03:31 AM","Terrace Level","439","13","6","417.95"
"01-13-23 / 03:31 AM","Main Level","134","40","4","1130.74"
"01-13-23 / 03:31 AM","Main Level","132","28","2","994.94"
"01-12-23 / 10:18 PM","Main Level","127","18","2","855"
"01-12-23 / 10:18 PM","Club Level","232","8","2","602.7"
"01-12-23 / 10:18 PM","Main Level","120","8","4","810"
"01-12-23 / 10:18 PM","Terrace Level","433","13","2","391"
"01-12-23 / 05:50 PM","Terrace Level","440","8","3","427.23"
"01-12-23 / 05:50 PM","Terrace Level","440","22","3","405"
"01-12-23 / 01:33 PM","Terrace Level","450","4","6","540"
"01-12-23 / 01:33 PM","Club Level","239","8","2","585"
"01-12-23 / 01:33 PM","Main Level","123","35","2","630"
"01-12-23 / 01:33 PM","Main Level","126","36","1","585"
"01-12-23 / 04:27 AM","Main Level","113","30","2","562.5"
"01-12-23 / 04:27 AM","Main Level","128","39","4","675"
"01-12-23 / 04:27 AM","Main Level","108","23","3","953.16"
"01-12-23 / 04:27 AM","Main Level","103","16","2","540"
"01-11-23 / 11:39 PM","Main Level","106","34","2","765"
"01-11-23 / 11:39 PM","Ring of Honor","403","B","1","315"
"01-11-23 / 11:39 PM","Main Level","117","22","2","630"
"01-11-23 / 11:39 PM","Club Level","245","10","2","652.5"
"01-11-23 / 11:39 PM","Field","B","30","6","1287.9"
"01-11-23 / 11:39 PM","Terrace Level","415","5","3","461.7"
"01-11-23 / 11:39 PM","Club Level","212","8","2","705.13"
"01-11-23 / 07:01 PM","Terrace Level","453","6","1","297"
